;PM10;Miesiąc;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Średnia temperatura dobowa;Temperatura minimalna przy gruncie;Suma dobowa opadu;Rodzaj opadu;Wysokość pokrywy śnieżnej;Równoważnik wodny śniegu;Usłonecznienie;Czas trwania opadu deszczu;Czas trwania opadu śniegu;Czas trwania opadu deszczu ze śniegiem;Czas trwania gradu;Czas trwania mgły;Czas trwania zamglenia;Czas trwania sadzi;Czas trwania gołoledzi;Czas trwania zamieci śnieżnej niskiej;Czas trwania zamieci śnieżnej wysokiej;Czas trwania zmętnienia;Czas trwania wiatru >=10m/s;Czas trwania wiatru >15m/s;Czas trwania burzy;Czas trwania rosy;Czas trwania szronu;Wystąpienie pokrywy śnieżnej;Wystąpienie błyskawicy;Stan gruntu Z/R;Izoterma dolna;Izoterma górna;Aktynometria;Miesiąc.1;Średnie dobowe zachmurzenie ogólne;Średnia dobowa prędkość wiatru;Średnia dobowa temperatura;Średnia dobowe ciśnienie pary wodnej;Średnia dobowa wilgotność względna;Średnia dobowe ciśnienie na poziomie stacji;Średnie dobowe ciśnienie na pozimie morza;Suma opadu dzień;Suma opadu noc;Weekday
2001-01-01;;1.0;-0.3;-3.8;-3.2;-6.8;0.0;;3.0;0.0;0.0;0.0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;6.1;4.1;-3.2;4.4;89.9;1001.7;1015.2;0.0;0.0;0.0
2001-01-02;50.2;1.0;0.9;-8.8;-2.1;-11.2;3.8;S;3.0;0.0;0.1;6.4;0.8;0.0;0.0;0.0;1.7;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;7.1;3.4;-2.1;4.7;88.4;995.7;1009.2;0.8;3.0;1.0
2001-01-03;68.8;1.0;1.3;0.2;0.6;0.0;2.2;W;1.0;0.0;0.0;10.3;0.0;0.0;0.0;0.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;7.9;2.1;0.6;6.0;94.9;995.5;1008.8;0.8;1.4;2.0
2001-01-04;44;1.0;2.5;0.3;1.6;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.7;13.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;8.0;3.0;1.6;6.8;99.0;998.8;1012.1;0.0;0.0;3.0
2001-01-05;;1.0;1.4;-0.3;0.4;-0.4;2.0;W;0.0;0.0;0.0;0.6;0.0;0.0;0.0;2.1;19.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.4;3.5;0.4;6.2;98.4;996.3;1009.6;0.0;2.0;4.0
2001-01-06;41.5;1.0;8.1;0.1;4.5;-0.4;0.8;W;0.0;0.0;0.0;7.8;0.0;0.0;0.0;0.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.1;4.3;4.5;7.7;91.8;989.4;1002.4;0.8;0.0;5.0
2001-01-07;;1.0;7.7;2.8;3.9;1.9;1.2;W;0.0;0.0;0.0;1.0;0.0;0.0;0.0;6.8;4.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.1;2.4;3.9;7.8;97.0;1000.3;1013.5;0.0;1.2;6.0
2001-01-08;40.3;1.0;4.2;1.6;3.1;1.7;2.6;W;0.0;0.0;0.0;16.6;0.0;0.0;0.0;0.3;23.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.9;2.6;3.1;7.5;98.3;998.9;1012.1;2.2;0.4;0.0
2001-01-09;52.1;1.0;3.0;-0.6;0.9;0.0;0.0;S;0.0;0.0;0.0;0.4;0.0;0.0;0.0;8.3;15.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;8.0;3.4;0.9;6.5;99.4;998.0;1011.3;0.0;0.0;1.0
2001-01-10;41.5;1.0;3.1;0.9;2.2;0.7;0.4;S;0.0;0.0;0.0;6.2;0.0;1.0;0.0;0.0;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;6.3;4.1;2.2;6.7;92.9;1001.4;1014.7;0.4;0.0;2.0
2001-01-11;23.6;1.0;1.6;-2.5;-1.0;-3.2;0.0;S;0.0;0.0;4.0;0.0;1.1;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;4.3;4.4;-1.0;4.9;86.1;1004.0;1017.5;0.0;0.0;3.0
2001-01-12;;1.0;0.3;-2.1;-1.2;-2.9;0.5;S;0.0;0.0;3.4;0.0;1.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;5.5;5.4;-1.2;4.8;86.4;1008.4;1022.0;0.0;0.5;4.0
2001-01-13;21.1;1.0;-0.8;-4.4;-2.1;-7.0;0.0;S;0.0;0.0;0.2;0.0;7.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;5.6;2.6;-2.1;5.0;94.4;1018.5;1032.3;0.0;0.0;5.0
2001-01-14;;1.0;0.1;-5.9;-1.1;-8.0;0.2;S;0.0;0.0;0.0;0.0;0.9;0.0;0.0;7.2;15.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.0;2.8;-1.1;5.6;98.8;1021.9;1035.6;0.2;0.0;6.0
2001-01-15;54.6;1.0;0.7;-0.3;0.1;-0.1;0.0;S;0.0;0.0;0.0;0.0;1.1;0.0;0.0;3.7;20.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;8.0;2.0;0.1;6.1;99.0;1021.6;1035.3;0.0;0.0;0.0
2001-01-16;56.4;1.0;0.3;-0.7;-0.4;-1.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.3;1.9;-0.4;5.4;90.9;1019.8;1033.5;0.0;0.0;1.0
2001-01-17;48.4;1.0;-0.5;-4.3;-3.1;-4.7;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.1;3.3;-3.1;4.4;88.4;1017.3;1031.1;0.0;0.0;2.0
2001-01-18;44.6;1.0;-0.8;-5.3;-3.9;-4.9;0.0;;0.0;0.0;4.9;0.0;0.0;0.0;0.0;0.0;11.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;3.9;4.4;-3.9;3.9;86.0;1016.8;1030.6;0.0;0.0;3.0
2001-01-19;;1.0;-1.9;-5.7;-3.6;-6.3;0.0;;0.0;0.0;1.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;6.4;6.0;-3.6;3.7;79.0;1017.1;1030.9;0.0;0.0;4.0
2001-01-20;58.9;1.0;-2.1;-6.6;-3.9;-7.3;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;5.5;3.6;-3.9;3.7;81.5;1017.3;1031.1;0.0;0.0;5.0
2001-01-21;;1.0;-2.3;-3.8;-3.2;-3.6;0.0;S;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.3;4.6;-3.2;3.9;80.3;1019.6;1033.4;0.0;0.0;6.0
2001-01-22;53.3;1.0;-3.1;-6.8;-4.9;-7.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;6.1;7.5;-4.9;3.2;74.8;1015.8;1029.6;0.0;0.0;0.0
2001-01-23;49;1.0;-2.9;-7.8;-5.5;-7.9;0.0;;0.0;0.0;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;5.6;8.5;-5.5;2.8;69.3;1008.7;1022.5;0.0;0.0;1.0
2001-01-24;39.1;1.0;3.1;-4.2;-0.9;-4.6;2.4;S;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;4.8;8.1;-0.9;4.3;75.0;1003.5;1017.0;0.0;2.4;2.0
2001-01-25;49.6;1.0;4.8;-0.7;2.0;-1.2;0.4;W;1.0;0.0;1.0;6.1;0.8;0.4;0.0;0.0;10.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;7.6;4.3;2.0;6.6;93.5;999.5;1012.8;0.4;0.0;3.0
2001-01-26;;1.0;4.1;-1.3;1.9;-2.3;0.6;W;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;6.6;4.0;1.9;6.7;95.0;995.9;1009.1;0.6;0.0;4.0
2001-01-27;56.4;1.0;3.5;-0.2;1.8;-0.5;0.8;W;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;18.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.4;2.4;1.8;6.8;97.5;991.8;1005.0;0.0;0.8;5.0
2001-01-28;;1.0;5.8;0.2;1.9;-3.2;0.0;W;0.0;0.0;5.8;3.0;0.0;0.0;0.0;0.0;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;4.9;3.1;1.9;6.0;86.4;991.4;1004.5;0.0;0.0;6.0
2001-01-29;50.8;1.0;4.9;-6.0;-0.4;-7.0;0.0;W;0.0;0.0;4.1;1.7;0.0;0.0;0.0;0.0;10.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.8;0.0;0.0;;0.0;0.0;0.0;1.0;4.4;2.4;-0.4;5.5;92.3;998.6;1012.0;0.0;0.0;0.0
2001-01-30;46.5;1.0;1.9;0.0;0.6;-0.3;0.0;S;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;13.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.5;1.9;0.6;6.1;94.9;1007.4;1020.9;0.0;0.0;1.0
2001-01-31;21.1;1.0;0.6;-1.1;-0.5;-1.5;0.4;S;0.0;0.0;0.0;0.0;5.7;0.0;0.0;0.0;9.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;7.0;3.3;-0.5;5.3;89.9;1006.5;1020.0;0.4;0.0;2.0
2001-02-01;34.7;2.0;-0.6;-4.6;-3.3;-6.0;0.3;S;0.0;0.0;5.7;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;4.8;3.9;-3.3;3.9;80.0;1005.7;1019.4;0.0;0.3;3.0
2001-02-02;;2.0;-4.3;-7.4;-6.2;-8.6;1.9;S;1.0;0.0;0.0;0.0;14.8;0.0;0.0;0.0;10.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;2.0;6.6;2.4;-6.2;3.4;88.4;1002.3;1016.0;1.8;0.1;4.0
2001-02-03;42.8;2.0;-5.9;-13.2;-8.9;-16.3;0.0;S;4.0;0.0;0.2;0.0;6.6;0.0;0.0;0.0;14.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;2.0;4.8;2.4;-8.9;2.9;91.5;1000.8;1014.7;0.0;0.0;5.0
2001-02-04;;2.0;-5.6;-15.8;-9.8;-17.3;0.0;S;4.0;0.0;2.8;0.0;0.0;0.0;0.0;0.0;12.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;2.0;5.4;2.6;-9.8;2.6;88.0;1000.0;1013.9;0.0;0.0;6.0
2001-02-05;50.8;2.0;0.8;-10.5;-4.3;-10.1;6.0;S;4.0;0.0;0.0;10.1;5.2;0.0;0.0;0.0;16.1;0.0;12.2;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;2.0;7.9;5.3;-4.3;4.5;93.8;992.6;1006.1;2.2;3.8;0.0
2001-02-06;48.4;2.0;9.1;0.8;5.3;0.6;1.8;W;0.0;0.0;1.4;4.0;0.0;0.0;0.0;0.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;6.8;3.6;5.3;8.4;93.6;995.9;1009.0;1.8;0.0;1.0
2001-02-07;60.8;2.0;11.0;3.0;5.9;1.6;0.0;;0.0;0.0;4.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;6.0;3.1;5.9;8.0;86.0;998.9;1011.9;0.0;0.0;2.0
2001-02-08;74.4;2.0;7.1;0.5;3.6;-1.7;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;6.9;2.5;3.6;7.6;95.5;994.8;1007.9;0.0;0.0;3.0
2001-02-09;;2.0;12.4;-0.6;5.6;-2.5;0.0;;0.0;0.0;7.6;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;4.6;2.5;5.6;7.9;87.1;997.1;1010.2;0.0;0.0;4.0
2001-02-10;59.5;2.0;7.5;-0.7;1.7;-2.1;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;7.1;3.9;1.7;6.4;92.1;1016.7;1030.2;0.0;0.0;5.0
2001-02-11;;2.0;3.1;-4.3;-0.6;-5.9;0.0;;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;6.0;2.6;-0.6;4.8;82.3;1026.1;1039.9;0.0;0.0;6.0
2001-02-12;42.2;2.0;10.2;0.5;5.7;-0.3;0.0;;0.0;0.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;7.0;3.9;5.7;6.8;74.1;1013.7;1027.0;0.0;0.0;0.0
2001-02-13;24.2;2.0;9.7;4.4;5.7;4.3;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;7.5;5.3;5.7;7.2;78.6;1009.9;1023.2;0.0;0.0;1.0
2001-02-14;45.3;2.0;4.6;-0.1;2.0;0.5;0.0;W;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.5;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;7.4;4.3;2.0;6.4;90.1;1016.2;1029.7;0.0;0.0;2.0
2001-02-15;58.9;2.0;3.1;-0.5;1.6;0.1;0.0;;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;7.4;4.6;1.6;6.2;90.0;1015.6;1029.2;0.0;0.0;3.0
2001-02-16;;2.0;5.1;-2.2;0.2;-2.8;0.0;W;0.0;0.0;7.8;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;2.6;3.3;0.2;5.7;91.4;1014.5;1028.1;0.0;0.0;4.0
2001-02-17;71.9;2.0;5.4;-0.4;1.6;-1.4;0.0;S;0.0;0.0;7.2;2.4;0.0;0.0;0.0;0.0;12.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;5.3;3.5;1.6;5.8;85.4;1018.4;1032.0;0.0;0.0;5.0
