;Miesiąc;Maksymalna temperatura dobowa;Minimalna temperatura dobowa;Średnia temperatura dobowa;Temperatura minimalna przy gruncie;Suma dobowa opadu;Wysokość pokrywy śnieżnej;Równoważnik wodny śniegu;Usłonecznienie;Czas trwania opadu deszczu;Czas trwania opadu śniegu;Czas trwania opadu deszczu ze śniegiem;Czas trwania gradu;Czas trwania mgły;Czas trwania zamglenia;Czas trwania sadzi;Czas trwania gołoledzi;Czas trwania zamieci śnieżnej niskiej;Czas trwania zamieci śnieżnej wysokiej;Czas trwania zmętnienia;Czas trwania wiatru >=10m/s;Czas trwania wiatru >15m/s;Czas trwania burzy;Czas trwania rosy;Czas trwania szronu;Wystąpienie pokrywy śnieżnej;Izoterma dolna;Izoterma górna;Aktynometria;Miesiąc;Średnie dobowe zachmurzenie ogólne;Średnia dobowa prędkość wiatru;Średnia dobowe ciśnienie pary wodnej;Średnia dobowa wilgotność względna;Średnia dobowe ciśnienie na poziomie stacji;Średnie dobowe ciśnienie na pozimie morza;Suma opadu dzień;Suma opadu noc;PM10;Dzień tygodnia;PM10_prev;PM10_next
2001-01-03;1.0;1.3;0.2;0.6;0.0;2.2;1.0;0.0;0.0;10.3;0.0;0.0;0.0;0.0;23.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;7.9;2.1;6.0;94.9;995.5;1008.8;0.8;1.4;68.8;2;50.2;44
2001-01-09;1.0;3.0;-0.6;0.9;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;8.3;15.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;8.0;3.4;6.5;99.4;998.0;1011.3;0.0;0.0;52.1;1;40.3;41.5
2001-01-10;1.0;3.1;0.9;2.2;0.7;0.4;0.0;0.0;0.0;6.2;0.0;1.0;0.0;0.0;15.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;6.3;4.1;6.7;92.9;1001.4;1014.7;0.4;0.0;41.5;2;52.1;23.6
2001-01-16;1.0;0.3;-0.7;-0.4;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.3;1.9;5.4;90.9;1019.8;1033.5;0.0;0.0;56.4;1;54.6;48.4
2001-01-17;1.0;-0.5;-4.3;-3.1;-4.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.1;3.3;4.4;88.4;1017.3;1031.1;0.0;0.0;48.4;2;56.4;44.6
2001-01-23;1.0;-2.9;-7.8;-5.5;-7.9;0.0;0.0;0.0;4.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.6;8.5;2.8;69.3;1008.7;1022.5;0.0;0.0;49;1;53.3;39.1
2001-01-24;1.0;3.1;-4.2;-0.9;-4.6;2.4;0.0;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.8;8.1;4.3;75.0;1003.5;1017.0;0.0;2.4;39.1;2;49;49.6
2001-01-30;1.0;1.9;0.0;0.6;-0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9;13.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.5;1.9;6.1;94.9;1007.4;1020.9;0.0;0.0;46.5;1;50.8;21.1
2001-01-31;1.0;0.6;-1.1;-0.5;-1.5;0.4;0.0;0.0;0.0;0.0;5.7;0.0;0.0;0.0;9.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;7.0;3.3;5.3;89.9;1006.5;1020.0;0.4;0.0;21.1;2;46.5;34.7
2001-02-06;2.0;9.1;0.8;5.3;0.6;1.8;0.0;0.0;1.4;4.0;0.0;0.0;0.0;0.0;3.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.8;3.6;8.4;93.6;995.9;1009.0;1.8;0.0;48.4;1;50.8;60.8
