;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
RidgeCV;11.09444962251012;10.591508801901904;0.41003448235655815;0.43227778478279644;271.9747618430687;227.27109133338314;0.6401115350254504;0.6574623281609103;16.487281128219593;15.075271408705202;43.279818333242716;42.16510541716878
LassoCV;10.491627141371884;10.157385493619095;0.44513375345358447;0.47521308262879325;227.71315545502262;216.83244920253688;0.6667478992005605;0.689291398573485;15.069456628629647;14.723935617838489;41.6329000504024;39.449656941638295
SVR_linear;10.397078136025591;9.464024386264503;0.40304983640657915;0.4750410315365848;236.42997370608632;218.54476412274283;0.6339648737970985;0.6891895784490982;15.370789133653513;14.782895447745982;37.3305569089492;33.772049795480356
SVR_rbf;11.467438392300437;11.260890525073728;0.257850929836844;0.2787509376925068;305.31115223121566;297.9143698243894;0.5073619801194195;0.5279279048979011;17.454137204587887;17.25907078471264;40.98172745039986;40.33394354631722
MLP;11.404441105089246;11.226838179605455;0.39559166421578923;0.4002347083969117;263.8775908927498;243.88718076933597;0.628677456851767;0.6325568765000974;16.22483856280855;15.615605716557056;47.137500119104416;46.771606885850446
DT;11.134213415160136;9.859398355206764;0.29961268519356904;0.5297331376155087;277.6005803189626;195.56442055213626;0.5462807670663766;0.7277979110474745;16.64879378771511;13.984185212069969;44.28059892465972;39.354283021704774
ET;10.681695865808049;5.675446601592396;0.4262246853985732;0.8710444775452035;247.59173495923233;52.61064797747059;0.6521360737976468;0.9332963383866832;15.70552692844532;7.251949106898467;41.82287192956504;25.03303929086622
RF;10.268620439642064;6.618530307927061;0.4580740698722144;0.8099756701353563;228.3455970000178;77.98173775020413;0.6766548898328534;0.8999826725862036;15.104993970423553;8.829477213855993;40.8299120922454;27.472450711203994
KNN;11.65421105610561;10.93505746130031;0.3166913685668814;0.4120106291145705;278.83778631100114;243.3288121474785;0.5625763641973144;0.6418772562056353;16.66416466601291;15.596929482786788;47.444094851826684;44.76010502281646
RidgeCV_pca;10.563922753256843;10.03502215700674;0.4404869617143968;0.48958569874982094;230.75706039902002;210.13578866565376;0.6628911204278735;0.6996647126509952;15.184344186123107;14.49576536008802;41.571448455861336;39.00012762889098
LassoCV_pca;10.527744061325581;10.214352192746203;0.42820929384561246;0.4778516172622802;223.29899587586073;218.15852707752578;0.6540679676598196;0.6912331004365281;14.935259368166067;14.769040803526181;40.80794404968474;39.98810437552057
SVR_linear_pca;10.252955980849137;9.693018621390317;0.4610572770807007;0.4520424711998575;225.53467926451557;224.87574451950067;0.6781069072466821;0.6722905354152027;15.006787712349402;14.995290841403719;37.45759130191955;34.74032721178919
SVR_rbf_pca;10.118487178129538;9.82262892365504;0.42200160627708155;0.4488804986377947;227.0709669926103;230.1321881550743;0.6492756674788105;0.6699687423377754;15.055228278186553;15.169563092253387;36.34186370089549;34.69804882530871
MLP_pca;11.186784916724562;10.23387001378671;0.40758848019055477;0.471780378638287;255.07925671269112;215.5426140407175;0.6375344843119181;0.686846834003161;15.940578338734724;14.678130362749652;43.337327413812616;39.582553333569976
DT_pca;12.329072340075362;11.226683623156983;0.1650748238046295;0.4346922750802576;323.313226395007;237.00304576986755;0.4035859096222425;0.6592978840043797;17.961774563269458;15.39409364662399;50.02629755448518;46.38197296996994
ET_pca;11.623508245263176;8.159783139453639;0.3549575914878135;0.7209599941056979;278.4344231731188;113.81290982913637;0.5956200963629169;0.8490758793846098;16.653509515235008;10.666616498263318;47.31422818745688;35.56130183606721
RF_pca;11.633958439374322;7.417063484541248;0.3133824908507882;0.7763842063449257;274.01472235052154;92.97286375453022;0.5595181767514589;0.8811157866273645;16.539247193537747;9.639060912377145;47.37194188481971;32.1247551127838
KNN_pca;11.385387953795378;10.696522063983489;0.3504794911614851;0.42453639545648175;263.37995624037404;238.41904170933608;0.5914572780443255;0.6515278033119898;16.22200517526671;15.440430813782339;47.01611019821041;43.66677020501079
RidgeCV_rfe;11.209531146263235;11.068890343888595;0.37228238189610463;0.39636294735113886;250.41317263926317;251.23025123801614;0.6100220604528014;0.6295672982465679;15.807949101848052;15.84936805017285;45.959235560461835;44.8632256869688
LassoCV_rfe;10.373539325492995;10.153579955722043;0.4695677488124389;0.4678134512949056;225.98254066945748;217.41260857929063;0.6846377182602863;0.6839263662701971;15.015276607806062;14.743780473009508;40.54649484244834;39.434935510918976
SVR_linear_rfe;10.14461233790404;9.952001835878066;0.4349587214028066;0.4526825386629968;220.91377183348345;228.5761149596695;0.6592237819455128;0.6727989583428791;14.844697969971865;15.117870461865635;37.0706929604624;35.77715643525835
SVR_rbf_rfe;12.507484243865955;12.583853593625797;0.11767784087451667;0.11998021765597515;344.488754518927;368.07967725296237;0.3429511768815032;0.3463613559984563;18.553613534822368;19.18491854399849;45.88139588997099;46.09479469053483
MLP_rfe;10.598172570465028;10.486106642330945;0.4394068237729112;0.44920735783460974;228.39508539540375;227.92538399725723;0.6619949391866469;0.6701692251900444;15.076218171692966;15.09607066768858;41.45315248301016;41.72827299546246
DT_rfe;11.153857462388626;9.916127341866675;0.3310846135403493;0.5107031494441655;298.53820307247696;197.10806790491145;0.5714768510917783;0.7145842509679928;17.24489065264012;14.038533621964294;42.72672157987921;39.3003823922395
ET_rfe;10.252020948269543;6.586248529376189;0.44179353049004505;0.8145404451911504;217.27944086429952;77.45675902664019;0.6639536317851397;0.9025161112198219;14.730394153971744;8.800406033589251;40.55540528556275;27.61021726934026
RF_rfe;10.367696525787935;6.76713261990888;0.45025466217206933;0.7963063637829981;224.64418753176787;84.06292836266827;0.669914048399437;0.8923506698226713;14.983145572251635;9.167171388181973;40.217986159197935;27.65654279201284
KNN_rfe;10.787281683168317;10.308512074303405;0.41305781815806936;0.4706824183689645;233.57858320341035;220.33163846189194;0.6425862678990878;0.6860571606042203;15.27757230134605;14.843359891725488;44.37336791521794;41.364259107773066
RidgeCV_skb;11.150185081106343;11.110704160048197;0.3960649760140069;0.3898697466216314;245.08217815059317;252.55458648418215;0.6289841326440118;0.6243617201276889;15.646038942635343;15.891580958117942;45.73002946351862;44.743127782944406
LassoCV_skb;10.582371343023642;10.246397210829617;0.4182539243134179;0.46606785833576947;227.4452357928455;222.99366750171026;0.645957088138849;0.6826629464603714;15.076015637250544;14.932621404316691;40.905341158446774;40.237688933794104
SVR_linear_skb;10.436747908597678;10.001499873856357;0.42453681408738236;0.4455395200418318;230.38312454740748;230.09704704533118;0.6512364807792734;0.6674636658931644;15.173672210237655;15.16874437974764;37.61828375195218;36.680691634222526
SVR_rbf_skb;11.934660617139462;11.844246927290433;0.2164942856029965;0.22529969997171423;327.02061099605373;318.9655696503085;0.4644131420220532;0.47462147290191414;18.03306632402249;17.856779803840503;43.24432436068936;43.62973111143683
MLP_skb;10.830304322217014;10.917293238564174;0.40463991271283783;0.3833784120425993;250.20110707965813;253.24391182163117;0.6350245659147682;0.6184474398971878;15.799183478634655;15.901883116935005;40.852707281810524;41.518925608697614
DT_skb;11.177610935666618;9.94572170836947;0.32763430887953005;0.5278890929746934;254.74509254922296;198.45999936278707;0.5703283901493237;0.7265261504979306;15.956925656434388;14.08697893684841;43.82477942579531;39.60868929058605
ET_skb;10.51545138034125;6.373326762758817;0.43625288613237745;0.8358770036219922;227.76194977260002;68.00796162359788;0.660378621276935;0.9142541964209403;15.086770672097462;8.24525444140752;41.18630160457838;27.579047733635697
RF_skb;10.401483753731835;6.841941464624928;0.43270550700533067;0.7966491894651109;220.6082006209213;85.04557695789299;0.6574147478566917;0.8925412237051578;14.84964998912439;9.220623860388528;40.929802138058385;28.17084909297057
KNN_skb;11.956116171617161;10.805637688338493;0.3092688581671038;0.4176139867587884;289.8959881949395;239.3073868581768;0.5560197139408889;0.6461954290066934;17.01158613298252;15.468138385254449;46.73091246396804;43.85255587794177
RidgeCV_sfm;10.953606238180035;10.788276777984368;0.3846289137649765;0.43054825464197133;248.52007305547622;236.05552840684237;0.6198766709477057;0.6561422032212454;15.73350427145437;15.362486956716191;43.80247016470234;42.98449477594909
LassoCV_sfm;10.33144929827262;10.174459005915446;0.43852628068818744;0.48213157190866285;222.96955633898574;215.62732657909737;0.6619078697785268;0.6943448619416788;14.916317178540686;14.683397072213074;39.42485263717849;39.68497043343566
SVR_linear_sfm;10.172440054069455;9.665373113199518;0.42578182633517336;0.46748178005890023;237.89986365891727;218.92850658472668;0.651297190678478;0.6836656501057765;15.419904900825625;14.7959456646204;34.990493998661535;34.84702541850372
SVR_rbf_sfm;11.79999327398299;11.737006825948134;0.226808217512037;0.22233250443703395;322.3757157166402;320.181647183265;0.4759539764419314;0.47148781940872153;17.909563649630325;17.891185995013263;42.60495949831449;42.53643762290902
MLP_sfm;10.584435863630299;11.012837474684513;0.4153996675975208;0.4212075141639531;215.74473416729717;245.05017302491586;0.644091483085061;0.6477868738182466;14.685637731904055;15.639834608559772;43.31339941877441;43.77449301784806
DT_sfm;11.05270069515838;9.8626284311573;0.322023636302147;0.5231750802918016;270.7649578320473;198.32337348460496;0.5671226242378411;0.7232948036532584;16.43449524498211;14.082405672175767;44.33216077320893;39.12486708066175
ET_sfm;10.495682182603867;5.981782657594667;0.4331064543975701;0.8564545825791215;221.43478634344032;60.00226987015041;0.6578837028897885;0.9254420640669012;14.872213321121231;7.744607104242638;41.848561218869506;25.765164914352255
RF_sfm;10.323531244631308;6.662153700211796;0.44310798107972715;0.8048655121445571;233.12137410340992;80.18831292309132;0.6655227695228975;0.8971414482415465;15.266832399848417;8.954305341043579;39.72033194485873;27.53541058681005
KNN_sfm;11.472567326732676;10.972829680082558;0.3653494822663964;0.4065013066585467;251.63076612915296;247.36966089276916;0.6040471639359943;0.637558179845045;15.84861199179548;15.727305458213895;48.642317250230164;44.90192282410553
RidgeCV_log;0.34835992749845046;0.3404488482239935;0.4056724228335119;0.426613501074701;0.19989396508024843;0.19074798077933672;0.6366191787872454;0.6531327719220098;0.44699083030823916;0.43673817832491296;11.37046000769912;11.03064514895864
LassoCV_log;0.3341757563174121;0.330204632653066;0.44930819893011514;0.4547870132716173;0.18634145366500116;0.18107036039301072;0.6699913660913228;0.6743551329569069;0.43156644351309825;0.4255134051936012;10.851604739252789;10.701634022143658
SVR_linear_log;0.3479437120126995;0.30775527367198896;0.40078123047195346;0.4908884336959066;0.2016229672495478;0.1692610959163539;0.6324422761056876;0.7006093241453462;0.4488779132145133;0.4114020170429937;11.275680974651753;9.965432430730859
SVR_rbf_log;0.3409664930042351;0.3311959431988157;0.4022761780815306;0.4459774323011608;0.19558685237588644;0.18537670614858642;0.6338242196082831;0.6677932680839931;0.44215292001646656;0.43054813000614844;11.03599737817298;10.747894552986995
MLP_log;0.3626022119048205;0.3566964440070208;0.3480325725305871;0.3769235401073764;0.2150818518930157;0.20813533206806295;0.5888521687746373;0.6133176836409426;0.4635252912408914;0.456081744458346;11.685565593543963;11.595588115078915
DT_log;0.35662404281881244;0.3180032460474146;0.37101317737391304;0.49052459872644344;0.21552220224883706;0.16866790514323848;0.6088669550495162;0.700361378686894;0.4641005678027679;0.4106766280048978;11.475571780455118;10.2535321003659
ET_log;0.32841785713423455;0.168047598530706;0.43872771631333923;0.8670683551662426;0.18088162521378062;0.04467771423598448;0.6621029153059655;0.9311623916816771;0.42524817602388376;0.211348860368809;10.54698603097201;5.405403270605227
RF_log;0.32533403854345344;0.19713898859094797;0.4447582763445867;0.8134485895043682;0.1829475372848607;0.06232659781679843;0.6662295805551279;0.901907028870767;0.4276402896184126;0.2496258494930137;10.54565958810313;6.335509557303033
KNN_log;0.3752332594278049;0.3501816834818394;0.31380172524950345;0.3980461180369009;0.2338286453238439;0.199455724644586;0.5596646335338697;0.6308930275765985;0.48338390611364107;0.4465981401705645;12.276131557721062;11.398201316032978
RidgeCV_pca_log;0.33489401860096535;0.3232211506949354;0.4331027968450404;0.476217418041225;0.18775285962572252;0.1747363879046843;0.6579000551702399;0.6900703464659312;0.43318107144630513;0.4180069068771573;10.808586096234643;10.468221820422334
LassoCV_pca_log;0.3307519646303062;0.3299733328610214;0.43700730903090895;0.4599815526248143;0.18228181876099375;0.18124438714024863;0.6605256499285324;0.6781899478754605;0.4267563216753777;0.42571264428567507;10.54997451929383;10.711729809974129
SVR_linear_pca_log;0.34189682529625315;0.31792491604537376;0.4144792253818845;0.4700525330939197;0.19736739826514055;0.17614539273555985;0.6435071869591844;0.6855849555772242;0.4440524524245789;0.4196752503989288;11.064649847931987;10.289979629686172
SVR_rbf_pca_log;0.32527200163999337;0.30295845170007163;0.4443116048732213;0.5154082064298755;0.18119698194203254;0.16239906190142872;0.6664495217365974;0.717914220839577;0.42564364890613815;0.40298386453975554;10.564116250329546;9.813435588276183
MLP_pca_log;0.3862187143479255;0.3748581044174026;0.2422848218791546;0.18971595874409647;0.2556986543547509;0.2692325408755772;0.47981501334366783;;0.5044526724646958;0.5174997478562126;12.282850654934938;11.958223383274127
DT_pca_log;0.4108754452141003;0.3560195325022682;0.19263879186828362;0.37997151494291465;0.2720511800558607;0.20615823277443068;0.4383665566612153;0.6163900762549301;0.5214217006250196;0.45403339286021527;13.192826845269451;11.549540467346114
ET_pca_log;0.3666187357965235;0.24079949151592808;0.35182886432336113;0.7248167498166351;0.2188910742812405;0.09144274672329086;0.5929310821056942;0.8513449317790845;0.4676342493552239;0.30236942223756225;11.861781169011392;7.789611988700001
RF_pca_log;0.3701541637106525;0.20337485003100336;0.3309288903478213;0.8054293203007303;0.22194599615620336;0.06492343927629764;0.5750029656101743;0.8974546817114165;0.4708841244021782;0.2547855007309047;12.170403274770717;6.578271163848707
KNN_pca_log;0.36374751252242427;0.3416740300705111;0.3190575489148234;0.4211346429997002;0.2212553970310573;0.19417818271963666;0.5646294452303706;0.6489311152464435;0.4702977494549875;0.4406507603779849;11.823269033317423;11.155277732034328
RidgeCV_rfe_log;0.3540301647011291;0.36100333430610954;0.37065272994361786;0.37753911542137153;0.20427118585633064;0.2087905809747165;0.6087277663491564;0.6144326257857087;0.45171367058442013;0.4569265784144017;11.584762427846742;11.765146031240999
LassoCV_rfe_log;0.33773825487320747;0.33289886501835253;0.43400004501143086;0.4487406250821689;0.19169520255677658;0.18299047025318588;0.6584955220722862;0.6698608483202712;0.43774773205150525;0.42776825700535503;10.946608886448015;10.79430661067172
SVR_linear_rfe_log;0.32909179481666184;0.33231345430658477;0.4536844604093459;0.44070626855518685;0.18100085711302719;0.18662298833419916;0.6734446032748703;0.6638498877200871;0.4253732194095381;0.4319939262541421;10.697301815709112;10.800129822300425
SVR_rbf_rfe_log;0.352651361993661;0.34897798545657654;0.4004482303166391;0.40501714191953464;0.20355119043512443;0.19739761547473275;0.6326703361490296;0.6363934079184622;0.4511381207176397;0.44429160511080157;11.553734706305164;11.391240368358307
MLP_rfe_log;0.34414492877325326;0.34445057828303377;0.3804557359517763;0.4173533232876519;0.1986528407846627;0.19604418459013265;0.6164895170889843;0.6459626795472814;0.44560233496974827;0.44274401434267824;11.057487007293059;11.184804739838944
DT_rfe_log;0.3467861106741316;0.32318533453518977;0.3967174207578481;0.4759574998827317;0.20316665948042562;0.1741841535932179;0.6291216354644529;0.6898898735073498;0.4506170359501871;0.4173519872121826;11.126120848545373;10.439119157916402
ET_rfe_log;0.31952055090875403;0.2130527864653923;0.46703821900974873;0.7784752646291881;0.173260825469758;0.07425625589468986;0.6830348884270554;0.8823054736413651;0.4161218889688983;0.2724735223011536;10.381811036992934;6.863734444621995
RF_rfe_log;0.32861058932094284;0.20889650957692812;0.43863448512513975;0.7893743746545744;0.1860087659529281;0.07033619906398285;0.66194942269102;0.8884663191340934;0.43114628176409814;0.26519840782981857;10.6396962997629;6.700924256576135
KNN_rfe_log;0.3506548633575994;0.3294033629505108;0.37038130601709335;0.46092038199904267;0.2048311685103954;0.18075569040781903;0.6082884960044229;0.6788958560799147;0.45255314966351035;0.4251503812229145;11.430774507773414;10.77764485077267
RidgeCV_skb_log;0.36583870702146587;0.3611236841903407;0.36161206863803963;0.36941154370255047;0.21207893842377104;0.21040130589351064;0.6012910794034102;0.607787694454766;0.46045951397263307;0.45869155696856867;11.907716150513739;11.774683089811232
LassoCV_skb_log;0.35139128827801624;0.3410638971012606;0.38807950434780414;0.4296587079086299;0.20426940916622915;0.1899942875226792;0.6226732482865214;0.6554615472860459;0.4519150472134378;0.4358786149397241;11.327409090664478;11.096167339957697
SVR_linear_skb_log;0.35055527863208547;0.33121559839513004;0.39980963745014614;0.4368625460739338;0.20270654527090323;0.18700256166933485;0.6319106774554815;0.6609278745828793;0.4501954657289201;0.4324333887150817;11.523722702175274;10.782513059350547
SVR_rbf_skb_log;0.35190236414345993;0.3553947217935694;0.39206605222615465;0.384932010314586;0.19973110026927496;0.20580822318344943;0.625980555180698;0.6204143843375615;0.4467870064785807;0.4536530321400612;11.454841964135847;11.649269647068731
