;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train;;;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
DT;11,13;9,86;0,30;0,53;277,60;195,56;0,55;0,73;16,65;13,98;44,28;39,35;;DT_log;0,36;0,32;0,37;0,49;0,22;0,17;0,61;0,70;0,46;0,41;11,48;10,25
DT_pca;12,33;11,23;0,17;0,43;323,31;237,00;0,40;0,66;17,96;15,39;50,03;46,38;;DT_pca_log;0,41;0,36;0,19;0,38;0,27;0,21;0,44;0,62;0,52;0,45;13,19;11,55
DT_rfe;11,15;9,92;0,33;0,51;298,54;197,11;0,57;0,71;17,24;14,04;42,73;39,30;;DT_rfe_log;0,35;0,32;0,40;0,48;0,20;0,17;0,63;0,69;0,45;0,42;11,13;10,44
DT_sfm;11,05;9,86;0,32;0,52;270,76;198,32;0,57;0,72;16,43;14,08;44,33;39,12;;DT_sfm_log;0,36;0,32;0,37;0,49;0,22;0,17;0,61;0,70;0,47;0,41;11,62;10,18
DT_skb;11,18;9,95;0,33;0,53;254,75;198,46;0,57;0,73;15,96;14,09;43,82;39,61;;DT_skb_log;0,36;0,32;0,36;0,49;0,22;0,17;0,60;0,70;0,46;0,41;11,63;10,30
ET;10,68;5,68;0,43;0,87;247,59;52,61;0,65;0,93;15,71;7,25;41,82;25,03;;ET_log;0,33;0,17;0,44;0,87;0,18;0,04;0,66;0,93;0,43;0,21;10,55;5,41
ET_pca;11,62;8,16;0,35;0,72;278,43;113,81;0,60;0,85;16,65;10,67;47,31;35,56;;ET_pca_log;0,37;0,24;0,35;0,72;0,22;0,09;0,59;0,85;0,47;0,30;11,86;7,79
ET_rfe;10,25;6,59;0,44;0,81;217,28;77,46;0,66;0,90;14,73;8,80;40,56;27,61;;ET_rfe_log;0,32;0,21;0,47;0,78;0,17;0,07;0,68;0,88;0,42;0,27;10,38;6,86
ET_sfm;10,50;5,98;0,43;0,86;221,43;60,00;0,66;0,93;14,87;7,74;41,85;25,77;;ET_sfm_log;0,32;0,18;0,47;0,84;0,18;0,05;0,69;0,92;0,42;0,23;10,40;5,85
ET_skb;10,52;6,37;0,44;0,84;227,76;68,01;0,66;0,91;15,09;8,25;41,19;27,58;;ET_skb_log;0,33;0,20;0,43;0,82;0,19;0,06;0,66;0,90;0,43;0,25;10,67;6,39
KNN;11,65;10,94;0,32;0,41;278,84;243,33;0,56;0,64;16,66;15,60;47,44;44,76;;KNN_log;0,38;0,35;0,31;0,40;0,23;0,20;0,56;0,63;0,48;0,45;12,28;11,40
KNN_pca;11,39;10,70;0,35;0,42;263,38;238,42;0,59;0,65;16,22;15,44;47,02;43,67;;KNN_pca_log;0,36;0,34;0,32;0,42;0,22;0,19;0,56;0,65;0,47;0,44;11,82;11,16
KNN_rfe;10,79;10,31;0,41;0,47;233,58;220,33;0,64;0,69;15,28;14,84;44,37;41,36;;KNN_rfe_log;0,35;0,33;0,37;0,46;0,20;0,18;0,61;0,68;0,45;0,43;11,43;10,78
KNN_sfm;11,47;10,97;0,37;0,41;251,63;247,37;0,60;0,64;15,85;15,73;48,64;44,90;;KNN_sfm_log;0,36;0,35;0,32;0,40;0,22;0,20;0,56;0,63;0,46;0,45;11,70;11,40
KNN_skb;11,96;10,81;0,31;0,42;289,90;239,31;0,56;0,65;17,01;15,47;46,73;43,85;;KNN_skb_log;0,38;0,35;0,30;0,40;0,23;0,20;0,55;0,63;0,48;0,45;12,36;11,40
LassoCV;10,49;10,16;0,45;0,48;227,71;216,83;0,67;0,69;15,07;14,72;41,63;39,45;;LassoCV_log;0,33;0,33;0,45;0,45;0,19;0,18;0,67;0,67;0,43;0,43;10,85;10,70
LassoCV_pca;10,53;10,21;0,43;0,48;223,30;218,16;0,65;0,69;14,94;14,77;40,81;39,99;;LassoCV_pca_log;0,33;0,33;0,44;0,46;0,18;0,18;0,66;0,68;0,43;0,43;10,55;10,71
LassoCV_rfe;10,37;10,15;0,47;0,47;225,98;217,41;0,68;0,68;15,02;14,74;40,55;39,43;;LassoCV_rfe_log;0,34;0,33;0,43;0,45;0,19;0,18;0,66;0,67;0,44;0,43;10,95;10,79
LassoCV_sfm;10,33;10,17;0,44;0,48;222,97;215,63;0,66;0,69;14,92;14,68;39,42;39,68;;LassoCV_sfm_log;0,34;0,33;0,42;0,46;0,19;0,18;0,65;0,68;0,44;0,42;10,89;10,71
LassoCV_skb;10,58;10,25;0,42;0,47;227,45;222,99;0,65;0,68;15,08;14,93;40,91;40,24;;LassoCV_skb_log;0,35;0,34;0,39;0,43;0,20;0,19;0,62;0,66;0,45;0,44;11,33;11,10
MLP;11,40;11,23;0,40;0,40;263,88;243,89;0,63;0,63;16,22;15,62;47,14;46,77;;MLP_log;0,36;0,36;0,35;0,38;0,22;0,21;0,59;0,61;0,46;0,46;11,69;11,60
MLP_pca;11,19;10,23;0,41;0,47;255,08;215,54;0,64;0,69;15,94;14,68;43,34;39,58;;MLP_pca_log;0,39;0,37;0,24;0,19;0,26;0,27;0,48;;0,50;0,52;12,28;11,96
MLP_rfe;10,60;10,49;0,44;0,45;228,40;227,93;0,66;0,67;15,08;15,10;41,45;41,73;;MLP_rfe_log;0,34;0,34;0,38;0,42;0,20;0,20;0,62;0,65;0,45;0,44;11,06;11,18
MLP_sfm;10,58;11,01;0,42;0,42;215,74;245,05;0,64;0,65;14,69;15,64;43,31;43,77;;MLP_sfm_log;0,36;0,35;0,36;0,39;0,21;0,20;0,60;0,62;0,46;0,45;11,74;11,34
MLP_skb;10,83;10,92;0,40;0,38;250,20;253,24;0,64;0,62;15,80;15,90;40,85;41,52;;MLP_skb_log;0,36;0,37;0,35;0,35;0,22;0,22;0,59;0,59;0,46;0,47;11,58;11,78
RF;10,27;6,62;0,46;0,81;228,35;77,98;0,68;0,90;15,10;8,83;40,83;27,47;;RF_log;0,33;0,20;0,44;0,81;0,18;0,06;0,67;0,90;0,43;0,25;10,55;6,34
RF_pca;11,63;7,42;0,31;0,78;274,01;92,97;0,56;0,88;16,54;9,64;47,37;32,12;;RF_pca_log;0,37;0,20;0,33;0,81;0,22;0,06;0,58;0,90;0,47;0,25;12,17;6,58
RF_rfe;10,37;6,77;0,45;0,80;224,64;84,06;0,67;0,89;14,98;9,17;40,22;27,66;;RF_rfe_log;0,33;0,21;0,44;0,79;0,19;0,07;0,66;0,89;0,43;0,27;10,64;6,70
RF_sfm;10,32;6,66;0,44;0,80;233,12;80,19;0,67;0,90;15,27;8,95;39,72;27,54;;RF_sfm_log;0,33;0,20;0,45;0,81;0,18;0,06;0,67;0,90;0,43;0,25;10,50;6,45
RF_skb;10,40;6,84;0,43;0,80;220,61;85,05;0,66;0,89;14,85;9,22;40,93;28,17;;RF_skb_log;0,33;0,21;0,45;0,79;0,18;0,07;0,67;0,89;0,43;0,27;10,61;6,83
RidgeCV;11,09;10,59;0,41;0,43;271,97;227,27;0,64;0,66;16,49;15,08;43,28;42,17;;RidgeCV_log;0,35;0,34;0,41;0,43;0,20;0,19;0,64;0,65;0,45;0,44;11,37;11,03
RidgeCV_pca;10,56;10,04;0,44;0,49;230,76;210,14;0,66;0,70;15,18;14,50;41,57;39,00;;RidgeCV_pca_log;0,33;0,32;0,43;0,48;0,19;0,17;0,66;0,69;0,43;0,42;10,81;10,47
RidgeCV_rfe;11,21;11,07;0,37;0,40;250,41;251,23;0,61;0,63;15,81;15,85;45,96;44,86;;RidgeCV_rfe_log;0,35;0,36;0,37;0,38;0,20;0,21;0,61;0,61;0,45;0,46;11,58;11,77
RidgeCV_sfm;10,95;10,79;0,38;0,43;248,52;236,06;0,62;0,66;15,73;15,36;43,80;42,98;;RidgeCV_sfm_log;0,35;0,35;0,42;0,41;0,20;0,20;0,65;0,64;0,44;0,44;11,38;11,28
RidgeCV_skb;11,15;11,11;0,40;0,39;245,08;252,55;0,63;0,62;15,65;15,89;45,73;44,74;;RidgeCV_skb_log;0,37;0,36;0,36;0,37;0,21;0,21;0,60;0,61;0,46;0,46;11,91;11,77
SVR_linear;10,40;9,46;0,40;0,48;236,43;218,54;0,63;0,69;15,37;14,78;37,33;33,77;;SVR_linear_log;0,35;0,31;0,40;0,49;0,20;0,17;0,63;0,70;0,45;0,41;11,28;9,97
SVR_linear_pca;10,25;9,69;0,46;0,45;225,53;224,88;0,68;0,67;15,01;15,00;37,46;34,74;;SVR_linear_pca_log;0,34;0,32;0,41;0,47;0,20;0,18;0,64;0,69;0,44;0,42;11,06;10,29
SVR_linear_rfe;10,14;9,95;0,43;0,45;220,91;228,58;0,66;0,67;14,84;15,12;37,07;35,78;;SVR_linear_rfe_log;0,33;0,33;0,45;0,44;0,18;0,19;0,67;0,66;0,43;0,43;10,70;10,80
SVR_linear_sfm;10,17;9,67;0,43;0,47;237,90;218,93;0,65;0,68;15,42;14,80;34,99;34,85;;SVR_linear_sfm_log;0,33;0,32;0,43;0,47;0,19;0,18;0,66;0,69;0,43;0,42;10,79;10,32
SVR_linear_skb;10,44;10,00;0,42;0,45;230,38;230,10;0,65;0,67;15,17;15,17;37,62;36,68;;SVR_linear_skb_log;0,35;0,33;0,40;0,44;0,20;0,19;0,63;0,66;0,45;0,43;11,52;10,78
SVR_rbf;11,47;11,26;0,26;0,28;305,31;297,91;0,51;0,53;17,45;17,26;40,98;40,33;;SVR_rbf_log;0,34;0,33;0,40;0,45;0,20;0,19;0,63;0,67;0,44;0,43;11,04;10,75
SVR_rbf_pca;10,12;9,82;0,42;0,45;227,07;230,13;0,65;0,67;15,06;15,17;36,34;34,70;;SVR_rbf_pca_log;0,33;0,30;0,44;0,52;0,18;0,16;0,67;0,72;0,43;0,40;10,56;9,81
SVR_rbf_rfe;12,51;12,58;0,12;0,12;344,49;368,08;0,34;0,35;18,55;19,18;45,88;46,09;;SVR_rbf_rfe_log;0,35;0,35;0,40;0,41;0,20;0,20;0,63;0,64;0,45;0,44;11,55;11,39
SVR_rbf_sfm;11,80;11,74;0,23;0,22;322,38;320,18;0,48;0,47;17,91;17,89;42,60;42,54;;SVR_rbf_sfm_log;0,34;0,34;0,40;0,43;0,19;0,19;0,63;0,66;0,44;0,44;11,02;10,99
