;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
6;9.389686346054077;0.008998473485310873;0.447013634142326;0.8388870068482245;10;50;{'max_depth': 10, 'n_estimators': 50};1;0.4377722612650077;0.836999573675678;0.48106084501725876;0.8295288437077035;0.4221847423919257;0.8501326031612921;0.032563509828345036;6.013738127515352e-06;0.02490711423735476;0.008516671059005679
20;13.877539793650309;0.013671795527140299;0.44683697020370666;0.9153149369475052;20;50;{'max_depth': 20, 'n_estimators': 50};2;0.43646861402817083;0.9143839538363963;0.4893271116250276;0.9133405568997676;0.4146853319976559;0.9182203001063516;0.3207792144500304;0.0004603561419710895;0.03134004319123647;0.002098097647144224
13;12.609970013300577;0.0120088259379069;0.4407480757843306;0.9080514293202805;15;50;{'max_depth': 15, 'n_estimators': 50};3;0.4284122748780607;0.9114409105855528;0.48468236496182315;0.9011080135992451;0.4091202208883206;0.9116053637760433;0.06751724713638178;9.938239192048479e-06;0.03205589007169493;0.004910195353839851
5;5.688052177429199;0.006006479263305664;0.44006993547722295;0.8342562660758782;10;30;{'max_depth': 10, 'n_estimators': 30};4;0.4283670733216353;0.8317103413937493;0.4834263917706053;0.8223570479873992;0.40838692350101036;0.8487014088464859;0.060147092556182516;2.3602235166100658e-06;0.03173092788922952;0.010904666787932286
4;4.7190291086832685;0.0053369998931884766;0.4381139683118751;0.8295904594144256;10;25;{'max_depth': 10, 'n_estimators': 25};5;0.43687767309239345;0.835971108316286;0.4562264999979521;0.8211933716585307;0.4212220476106453;0.8316068982684601;0.00419736584211395;0.0004717076892080888;0.014316128161574671;0.006199187818875208
12;7.556048631668091;0.008664608001708984;0.4357314381917847;0.9024619520352894;15;30;{'max_depth': 15, 'n_estimators': 30};6;0.43546984963279706;0.9064275532076823;0.47107903660029216;0.8951528736735752;0.40061282052641983;0.9058054292246107;0.019605279389827132;0.00046530120756027013;0.028766077436412817;0.005174535691624083
10;5.048259099324544;0.00600441296895345;0.4334716456275774;0.8932023168966464;15;20;{'max_depth': 15, 'n_estimators': 20};7;0.40743323867658476;0.8972422248537647;0.4674290502683911;0.884575601154383;0.4255452882744757;0.8977891246817915;0.03177549627840363;4.49566384116203e-07;0.02512939255382621;0.006104093884644682
18;6.883556445439656;0.007672786712646484;0.42909161057264084;0.9096113599654271;20;25;{'max_depth': 20, 'n_estimators': 25};8;0.4295351741341586;0.9116070509384682;0.4536437111766117;0.9044574837422724;0.4040727162359947;0.9127695452155408;0.11106347080128542;0.0004717075687024718;0.02023813703948639;0.0036751125451026352
11;6.298486312230428;0.00700529416402181;0.42866273877286915;0.9010077224968511;15;25;{'max_depth': 15, 'n_estimators': 25};9;0.4219987225348042;0.9098960303064824;0.4627849057248745;0.8918609172932231;0.4011790693314994;0.9012662198908479;0.01714681245136402;2.9736021254650284e-07;0.0255863895190315;0.007365072573857655
3;3.7870330810546875;0.00534208615620931;0.4285083974437736;0.829058818676473;10;20;{'max_depth': 10, 'n_estimators': 20};10;0.412138089822515;0.82735967297245;0.46020520763772027;0.8228522711486386;0.41316765090958685;0.8369645119083303;0.03223881274317794;0.0004701572601368309;0.022422173168731144;0.005885244651244386
17;5.520929336547852;0.006008307139078776;0.42720284534113323;0.9054454689332182;20;20;{'max_depth': 20, 'n_estimators': 20};11;0.4164866793369314;0.8959058156573074;0.46263569654520476;0.9104734849819105;0.40246318924423763;0.9099571061604368;0.11031856021852615;5.795527983825853e-06;0.02570615368634721;0.00674884682694081
2;3.196599801381429;0.0043408870697021484;0.4258036790788928;0.8250047647156445;10;17;{'max_depth': 10, 'n_estimators': 17};12;0.414047024007402;0.8226263931892993;0.4724629988777301;0.8155040368913532;0.390868576930796;0.8368838640662813;0.008262297678833035;0.00046904410503471075;0.03433042157037402;0.00888882222589872
19;8.329603513081869;0.00933527946472168;0.4256351062088733;0.906882340090045;20;30;{'max_depth': 20, 'n_estimators': 30};13;0.40820038138259135;0.913539831527064;0.4708875294613156;0.8966313753562368;0.39779155490313467;0.9104758133868341;0.13195909526114213;0.00046546980513102455;0.03228654439286393;0.0073556672152043515
