;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
9;2.639882961908976;0.009010950724283854;0.43468331137964644;0.8998102404348992;10;50;{'max_depth': 10, 'n_estimators': 50};1;0.42189774154328374;0.8973151445305622;0.47519281126432344;0.8921027725671931;0.40693361559708646;0.9100128042069424;0.027386184270270758;5.956754589539689e-06;0.029295152331015352;0.007521588308023131
14;4.757051785786946;0.013342936833699545;0.433946842806929;0.9921527032178226;15;50;{'max_depth': 15, 'n_estimators': 50};2;0.4188569344628703;0.9928925964988342;0.47015459630238726;0.9894799591526572;0.4128093714053889;0.9940855540019766;0.059287536643724006;0.0004718199201299551;0.025727411919609547;0.0019516587012904263
19;5.983597199122111;0.016011794408162434;0.42233996034371574;0.999687446461957;20;50;{'max_depth': 20, 'n_estimators': 50};3;0.4014969888711225;0.9997334583806677;0.4742767503696985;0.9994735129723799;0.39121724418944026;0.999855368032823;0.016586477649819357;8.778064264605254e-07;0.03697230011761942;0.00015925062908114302
8;1.0654207070668538;0.004344622294108073;0.41977209749300926;0.8945674759097506;10;20;{'max_depth': 10, 'n_estimators': 20};4;0.40394667716275723;0.8855723504730977;0.4657521451275898;0.8862843415716957;0.38958944544211543;0.9118457356844586;0.006650931728887938;0.0004748242462843422;0.0330442591529328;0.01222103182940073
4;1.005052963892619;0.0056705474853515625;0.4195911301163904;0.571345879790021;5;50;{'max_depth': 5, 'n_estimators': 50};5;0.4186116130862947;0.5561182763925347;0.44751384425211643;0.5573852312307238;0.3926228928647512;0.6005341317468045;0.0012467797011278254;0.00047137039394311753;0.022418107193459262;0.020645690960585585
3;0.40562232335408527;0.0030063788096110025;0.4135760394098719;0.5709612949155383;5;20;{'max_depth': 5, 'n_estimators': 20};6;0.3959083593170522;0.5607134377067637;0.4535201493580912;0.5600280417723258;0.39127890655274805;0.5921424052675253;0.0009434712980527898;5.795527983825853e-06;0.02831444710967196;0.014979920309178866
6;0.5290384292602539;0.0030018488566080728;0.41062687624372674;0.8909868133614064;10;10;{'max_depth': 10, 'n_estimators': 10};7;0.41401470814272456;0.8910197753106531;0.4544387124510204;0.8779420958659065;0.363383342274883;0.9039985689076594;0.010078065493061667;4.052336624139774e-07;0.03724746838860662;0.010637536109189692
2;0.30822380383809406;0.0029982725779215493;0.4099862813641445;0.5675908620395741;5;15;{'max_depth': 5, 'n_estimators': 15};8;0.3907120389126637;0.5558749933569922;0.4424031285075922;0.5544961116810178;0.39683146235554934;0.5924014810807123;0.0008219912493973193;6.70498533805035e-06;0.02306318038378147;0.017552785943594117
17;1.8042793273925781;0.005675395329793294;0.40293086815662255;0.9996306042266666;20;15;{'max_depth': 20, 'n_estimators': 15};9;0.384458277340216;0.9996522161147205;0.44214557554296247;0.9994511331878321;0.38216947452668004;0.9997884633774473;0.004554839542818636;0.0004744891664596238;0.027751157335013658;0.00013855978128688421
1;0.20882383982340494;0.002001603444417318;0.40133522314960945;0.5625800373641777;5;10;{'max_depth': 5, 'n_estimators': 10};10;0.38398188988234455;0.551834993791827;0.4339801092200898;0.5428598510486923;0.38602945886609363;0.5930452672520139;0.0028691149712084716;2.9736021254650284e-07;0.023103905094991706;0.021851559378435536
18;2.3977061112721763;0.008006016413370768;0.3997822914433491;0.9996526761594101;20;20;{'max_depth': 20, 'n_estimators': 20};11;0.3836635420964649;0.9996643378144822;0.44066789138129114;0.9995420698303975;0.3749924233331545;0.9997516208333506;0.0077856859725093245;2.9736021254650284e-07;0.02913303609370038;8.594533673183677e-05
13;1.900352954864502;0.006341775258382161;0.3981862153119427;0.9907108361966075;15;20;{'max_depth': 15, 'n_estimators': 20};12;0.37928034703815877;0.9916134663577583;0.4428971606972133;0.9867336214793757;0.3723571557867835;0.9937854207526886;0.03083414640959251;0.00046897624723493144;0.03174879149994815;0.0029487877908996587
7;0.787564754486084;0.003999471664428711;0.39790846381014;0.8885143118226445;10;15;{'max_depth': 10, 'n_estimators': 15};13;0.37106054614743716;0.882284183973988;0.44373779270498603;0.8825705045757852;0.3789094118612381;0.9006882469181602;0.006686968752604322;0.0008169367530236715;0.032571725749930926;0.008609065634710318
12;1.4316944281260173;0.005995512008666992;0.39361846987276866;0.9907666978978247;15;15;{'max_depth': 15, 'n_estimators': 15};14;0.35370450278922366;0.991320494340025;0.4697217327615564;0.9865787624609919;0.3573955408929857;0.9944008368924574;0.027368242837857513;5.907779547388013e-06;0.05384671408689246;0.003217269025886395
11;0.9673511187235514;0.004670461018880208;0.37401701505666585;0.9918453629479177;15;10;{'max_depth': 15, 'n_estimators': 10};15;0.34563797101341787;0.9908636066322453;0.4078297021637698;0.9907316113723161;0.36857832213866126;0.9939408708391918;0.008964979575038157;0.0004719326730705818;0.025682888714945725;0.0014827273696255072
