;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_gamma;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
15;1.7095495065053303;0.8075753053029379;0.2408228813814478;0.24781705873528756;1000;1e-05;rbf;{'C': 1000, 'gamma': 1e-05, 'kernel': 'rbf'};1;0.26307049889729517;0.2401360806335584;0.23723142134168085;0.24199130577353137;0.22214938546905139;0.2613237897987729;0.0047971050573884745;0.0092082585668546;0.01689670419183397;0.009580685539006312
14;1.7082109451293945;0.7995702425638834;0.07475167690599507;0.07681256113295931;1000;1e-06;rbf;{'C': 1000, 'gamma': 1e-06, 'kernel': 'rbf'};2;0.0914818566818889;0.07087133601059403;0.061698280697296215;0.0733178652803147;0.07107147625370047;0.0862484821079692;0.002823838856939846;0.0035611799959888732;0.012436035905711778;0.006746546269604605
11;1.7072150707244873;0.7985614140828451;0.07473449435947672;0.0767961818867382;100;1e-05;rbf;{'C': 100, 'gamma': 1e-05, 'kernel': 'rbf'};3;0.09145773294149961;0.07084651944172016;0.061674382618499994;0.07329584638410658;0.0710679631254556;0.08624617983438787;0.002152843208190852;0.0029479753118042675;0.012433928658067344;0.006756559604098929
10;1.7132155895233154;0.8015802701314291;-0.042972818103632016;-0.04204671853045242;100;1e-06;rbf;{'C': 100, 'gamma': 1e-06, 'kernel': 'rbf'};4;-0.025170683506780867;-0.043441427948140765;-0.056420076304424256;-0.04039716949094729;-0.047331741782586916;-0.042301558152269214;0.002446588736177268;0.0024518509673267124;0.013126148212179558;0.0012558091185060165
7;1.711554765701294;0.8002417087554932;-0.042978609544145244;-0.04205264098361713;10;1e-05;rbf;{'C': 10, 'gamma': 1e-05, 'kernel': 'rbf'};5;-0.025177516872643357;-0.04344816895474679;-0.05642423664594998;-0.04040129485824707;-0.04733812294429751;-0.04230845913785753;0.0009478118433964547;0.00047342478142415716;0.013125185116150186;0.0012569652967920992
13;1.7125473022460938;0.8019135793050131;-0.04298327177276326;-0.04205620223613704;1000;1e-07;rbf;{'C': 1000, 'gamma': 1e-07, 'kernel': 'rbf'};6;-0.025168190630172615;-0.043438604878851095;-0.05643292479433315;-0.04040886046646941;-0.04735275698311581;-0.04232114136309062;0.0018814358110018905;0.0012516338291807107;0.013133990569592548;0.0012509948992256
6;1.7125532627105713;0.8029096126556396;-0.06444131941105948;-0.06351566858696474;10;1e-06;rbf;{'C': 10, 'gamma': 1e-06, 'kernel': 'rbf'};7;-0.044367484389373546;-0.062106491916410045;-0.07902373675457497;-0.062204998602580996;-0.06993784063725794;-0.06623551524190319;0.004921710911260691;0.0028793274987715415;0.014674119811196415;0.001923642423735066
9;1.7132137616475422;0.8039153416951498;-0.06444155502127377;-0.06351603951541936;100;1e-07;rbf;{'C': 100, 'gamma': 1e-07, 'kernel': 'rbf'};8;-0.044369241728401176;-0.06210858768540062;-0.07902302432276898;-0.06220434335611924;-0.06993750202751303;-0.06623518750473822;0.004326629483526257;0.00125214449658089;0.014673039913385618;0.0019231253431123182
3;1.7095506985982258;0.8012413183848063;-0.06444211617827957;-0.06351645332559504;1;1e-05;rbf;{'C': 1, 'gamma': 1e-05, 'kernel': 'rbf'};9;-0.04436808206205111;-0.062107055064658086;-0.07902469795825429;-0.0622059132532935;-0.06993867209477145;-0.06623639165883355;0.0012547689377310962;0.0024921151020695473;0.014674269439933012;0.001923710241145178
12;1.7125566005706787;0.8015667597452799;-0.06444975136955272;-0.06352334705886187;1000;1e-08;rbf;{'C': 1000, 'gamma': 1e-08, 'kernel': 'rbf'};10;-0.04436498095311592;-0.0621035428946306;-0.0790293212408959;-0.062210103225256;-0.06996006827203027;-0.066256395056699;0.0012540759695667968;0.0014183924151060306;0.014679888191677402;0.001933046351380281
8;1.7135457197825115;0.8022423585255941;-0.0664934159020882;-0.06554822246153587;100;1e-08;rbf;{'C': 100, 'gamma': 1e-08, 'kernel': 'rbf'};11;-0.045986607886865816;-0.0635933846622796;-0.08124960483423793;-0.064363434584358;-0.07224937942668785;-0.06868784813797002;0.006647923763656;0.003867629028384279;0.014961979552478556;0.002242198513619564
2;1.7238959471384685;0.8025670051574707;-0.06649359734018247;-0.06554843824250008;1;1e-06;rbf;{'C': 1, 'gamma': 1e-06, 'kernel': 'rbf'};12;-0.045987268865641084;-0.06359416617362279;-0.08125058438290789;-0.06436433114167261;-0.07224828202611722;-0.06868681741220484;0.019356523018496084;0.004327393553495914;0.014961858994936088;0.002241332398244451
5;1.7145545482635498;0.8029051621754965;-0.0664936359285221;-0.06554848959167263;10;1e-07;rbf;{'C': 10, 'gamma': 1e-07, 'kernel': 'rbf'};13;-0.045987449615582765;-0.06359438177506593;-0.08125054833106414;-0.0643642978011052;-0.07224825303028592;-0.06868678919884674;0.0012544114799795775;0.0018873100505033694;0.01496176082076458;0.0022412624403937978
4;1.7118816375732422;0.8032378355662028;-0.06671117541575318;-0.06576882583017563;10;1e-08;rbf;{'C': 10, 'gamma': 1e-08, 'kernel': 'rbf'};14;-0.046214638584752166;-0.06382033832490275;-0.08145648462417365;-0.0645650222922145;-0.07246774804541789;-0.06892111687340963;0.004785865478617364;0.0012579436050720331;0.01495378607099905;0.002249643330061127
1;1.7128883997599285;0.8025687535603842;-0.06671159469203293;-0.06576920992950745;1;1e-07;rbf;{'C': 1, 'gamma': 1e-07, 'kernel': 'rbf'};15;-0.0462147227827272;-0.06382043805950155;-0.08145829951519379;-0.06456667925263315;-0.07246710579963334;-0.06892051247638764;0.0023641576151871096;0.002442115204332362;0.014954261971028084;0.002249036799174529
0;1.7105511824289958;0.7999067306518555;-0.06673433367707222;-0.06579216688168847;1;1e-08;rbf;{'C': 1, 'gamma': 1e-08, 'kernel': 'rbf'};16;-0.04623748309985576;-0.06384307280450852;-0.08147989648837806;-0.06458767131392595;-0.07249096650596232;-0.06894575652663093;0.002495829225048067;0.0016949217648219244;0.014954020563227243;0.0022505484474638496
