;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;2.656576951344808;0.009673436482747396;0.43876280297312276;0.9000412059162531;10;50;{'max_depth': 10, 'n_estimators': 50};1;0.4440506998120092;0.8919023261386995;0.4136821895315511;0.9024562598455176;0.4585739142938401;0.9057650317645422;0.0455975459505351;0.0009433588662912049;0.018703293282763066;0.00591145869917821
11;12.571967681248983;0.030183712641398113;0.4346407821695024;0.9997074271980052;20;100;{'max_depth': 20, 'n_estimators': 100};2;0.4451403842115629;0.9997024187663361;0.4119346834790011;0.9995577648034479;0.4468586231456835;0.9998620980242314;0.040532211831061246;0.002017893654481261;0.01607467487435258;0.00012429398110649063
6;4.782612959543864;0.013176600138346354;0.43232215518584877;0.9914202531431592;15;50;{'max_depth': 15, 'n_estimators': 50};3;0.45155044979591963;0.9895382940076036;0.4005314601746788;0.9908604876132961;0.4448962306802574;0.9938619778085779;0.14181116690729154;0.0006239681092827785;0.022648123093747738;0.0018089708840514738
3;5.285914182662964;0.016512235005696613;0.43152934582895175;0.9004542265046916;10;100;{'max_depth': 10, 'n_estimators': 100};4;0.437506310930309;0.8918461833906256;0.41757849954758774;0.905007972647226;0.4395106376792002;0.9045085234762231;0.056385125381696904;0.0007078422985593628;0.009900894166537045;0.006090219867887518
1;1.0646051565806072;0.0045032501220703125;0.43115590570125323;0.89614272807313;10;20;{'max_depth': 10, 'n_estimators': 20};5;0.4410739971937643;0.8868127489638228;0.4319483170178684;0.9011990295802805;0.4204354488932337;0.9004164056752864;0.012450761246786915;1.9466795466607238e-07;0.008443619579495907;0.006605023728407914
10;6.0420005321502686;0.016520182291666668;0.4297587074105855;0.9997102491867897;20;50;{'max_depth': 20, 'n_estimators': 50};6;0.43924415852791976;0.9996055391322624;0.4126845505805136;0.9996626719935947;0.43735446582379983;0.999862536434512;0.027319019797127014;0.0007108393681842548;0.012100668674061647;0.00011018044389432437
7;9.537076155344645;0.02450982729593913;0.42966087962915533;0.9923117298141014;15;100;{'max_depth': 15, 'n_estimators': 100};7;0.4403525386226641;0.9905193723933022;0.40977783728322825;0.9920930236569377;0.4388608051594104;0.9943227933920643;0.16226175933451809;0.0004089363703919101;0.0140758771465847;0.0015604224023945256
5;1.9022135734558105;0.006171305974324544;0.4202929133378222;0.991144192039164;15;20;{'max_depth': 15, 'n_estimators': 20};8;0.4411283872798866;0.9904659252018705;0.3959883225159124;0.9904975913169495;0.42376525430398715;0.9924690595986724;0.02900757604733451;0.00023562900117833765;0.018593879641171793;0.0009369120283815631
9;2.4279239177703857;0.007338762283325195;0.4192888585558905;0.9996793028816473;20;20;{'max_depth': 20, 'n_estimators': 20};9;0.41250541373443733;0.9996346893992394;0.39472352639229935;0.9996642962220791;0.45066677009203626;0.9997389230236235;0.018079341779915836;0.00023568517687291943;0.023335491080493657;4.385629553145053e-05
8;1.2130441665649414;0.004336436589558919;0.40647109165902456;0.9994529016674907;20;10;{'max_depth': 20, 'n_estimators': 10};10;0.4070060462955194;0.999505123681952;0.3854548530369767;0.9990727154223039;0.42697141029512176;0.9997808658982164;0.004994898324091154;0.00023591028133659113;0.016951972687538945;0.0002914499708120827
0;0.5434099038441976;0.00333555539449056;0.3992567738282239;0.8983187573929424;10;10;{'max_depth': 10, 'n_estimators': 10};11;0.40570580857939187;0.8857118856068098;0.37919687273191105;0.905589283818544;0.412880289677407;0.9036551027534738;0.01080998348664295;0.00023597131500643407;0.014486918244858002;0.008949308214311358
4;0.9727042516072592;0.003998200098673503;0.3804804885978985;0.9914198366963473;15;10;{'max_depth': 15, 'n_estimators': 10};12;0.3813346425284133;0.9893989207873154;0.3569155016966218;0.991355587197299;0.4032124282907522;0.9935050021044273;0.008493211878926392;7.041313309140742e-06;0.018908829095785656;0.001676916206270657
