;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
5;1.5149611632029216;0.003165642420450846;0.40338661140552956;0.4436325462818595;identity;0.005;(100, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (100, 100)};1;0.41646945438476257;0.4611903362644378;0.35739555737684214;0.4091258405893239;0.4363254062942493;0.4605814619918168;0.37525912536709516;0.00023796175530884606;0.033522818496640995;0.024401191709742608
6;3.851430813471476;0.007843414942423502;0.3896250578396477;0.42130732811475746;identity;0.005;(400, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (400, 100)};2;0.3716588949211789;0.4049227331351077;0.36728960328850624;0.4132188114740738;0.429964130344081;0.4457804397350908;0.9682919160417963;0.0006185770328339812;0.028566548698507818;0.01763341757832814
1;1.0944898128509521;0.0033357938130696616;0.3873698483439968;0.41714003666592303;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};3;0.37913729302373267;0.4086811179189833;0.3596913170180482;0.394858076645229;0.42331430960605176;0.4478809154335567;0.35597608286467336;0.0004719885978494184;0.02661665219485924;0.02245766889162427
11;1.2693864504496257;0.005503733952840169;0.3786008463706981;0.4140925620331748;identity;0.01;(200, 100, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (200, 100, 50)};4;0.41106585079755564;0.4502748534350077;0.3786233647957389;0.43858124951735555;0.34608313065369567;0.353421583147161;0.28691206607408476;0.00040821871640669396;0.026527032914012438;0.04316565650596223
7;1.1975828806559246;0.005010207494099935;0.3763210513061572;0.4049974033816857;identity;0.005;(200, 100, 50);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (200, 100, 50)};5;0.3530987078086274;0.38016385956973536;0.37097057584427523;0.4183449171104142;0.40492042493002933;0.4164834334649077;0.13416106504986117;4.9605326761650195e-06;0.021490295206558818;0.01757640376633147
8;0.8093791802724203;0.0025014877319335938;0.37412071584615375;0.40645561080179843;identity;0.01;(50, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (50, 100)};6;0.35911653713635405;0.38389411915721694;0.3690270972531229;0.44972462300032173;0.3942371913992657;0.3857480902478566;0.18118392485567889;3.8933590933214475e-07;0.014782535611271606;0.03060517238069627
10;3.896537939707438;0.007344961166381836;0.37314426673582546;0.41337447761706986;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};7;0.37418289384941994;0.4029627789897071;0.33382650797084523;0.4049889610841473;0.41145897378837415;0.4321716927773553;0.7882150177690939;0.00046766207933365383;0.03169937762212645;0.013317352760127285
4;0.8920219739278158;0.0036728382110595703;0.37298158217404587;0.4080947328656646;identity;0.005;(50, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (50, 100)};8;0.35860271468325916;0.38852749161276945;0.37826295051919623;0.44755662160918075;0.38208753624453884;0.3882000853750438;0.1506851583797182;0.0009408955550190979;0.010288899912021596;0.02790408925964504
0;0.6393682956695557;0.0026686986287434897;0.36524110225674244;0.3888998452016106;identity;0.001;(50, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (50, 100)};9;0.36077394767098236;0.3862715671836444;0.3579698870598128;0.4114358489196522;0.37699038130502954;0.3689921195015351;0.06389579316723631;0.00023579764882517598;0.008382693845529584;0.017426960448959104
9;1.057087500890096;0.003342151641845703;0.36162546168127613;0.38927066765064305;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};10;0.3230203498861326;0.3544496326288653;0.3365632410720646;0.3633254491782927;0.42535196446890666;0.45003692114477123;0.3882872413408823;0.00024006876482457522;0.04537869542852072;0.04312074676718276
2;4.887160539627075;0.007339954376220703;0.3582394234813229;0.4098632185601058;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};11;0.37295725122983836;0.4120298694493224;0.3855271424134249;0.4905263717888506;0.31619483818854865;0.3270334144421443;1.2737824233134563;0.00047948167539955266;0.030156172535636475;0.06676330108450196
3;1.1027706464131672;0.00533747673034668;0.349126832376375;0.3873833867980499;identity;0.001;(200, 100, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (200, 100, 50)};12;0.36875012524716566;0.39922156554447713;0.37750920706171553;0.45752811898644385;0.30107654988757093;0.3054004758632287;0.22171865647565303;0.00023568517687291943;0.03414870160643476;0.06266743868804782
