;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train;;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
LassoCV_rfe;10,12;10,23;0,46;0,47;209,19;220,61;0,68;0,69;14,45;14,85;39,57;39,91;LassoCV_rfe_log;0,34;0,33;0,45;0,44;0,19;0,18;0,67;0,67;0,43;0,43;10,97;10,87
LassoCV_sfm;10,38;10,14;0,46;0,48;224,61;215,21;0,68;0,69;14,97;14,67;40,08;39,52;LassoCV_sfm_log;0,33;0,33;0,43;0,46;0,18;0,18;0,65;0,68;0,43;0,43;10,63;10,74
ET_sfm;10,35;6,09;0,46;0,85;223,60;63,05;0,68;0,92;14,94;7,94;40,51;26,15;ET_sfm_log;0,33;0,18;0,45;0,85;0,19;0,05;0,67;0,92;0,43;0,23;10,79;5,77
RF_sfm;10,39;6,57;0,46;0,81;234,63;76,64;0,68;0,90;15,30;8,75;40,68;27,31;RF_sfm_log;0,32;0,20;0,47;0,81;0,18;0,06;0,68;0,90;0,42;0,25;10,53;6,41
MLP_rfe;10,50;10,51;0,45;0,44;234,16;227,62;0,67;0,67;15,28;15,09;41,52;41,55;MLP_rfe_log;0,35;0,35;0,38;0,40;0,20;0,20;0,62;0,63;0,45;0,45;11,29;11,32
ET;10,44;5,76;0,45;0,87;229,05;54,45;0,67;0,93;15,13;7,38;41,61;25,17;ET_log;0,33;0,17;0,46;0,87;0,18;0,04;0,68;0,93;0,43;0,21;10,64;5,42
ET_rfe;10,51;6,43;0,45;0,82;239,51;73,24;0,67;0,91;15,47;8,56;41,18;26,84;ET_rfe_log;0,33;0,21;0,45;0,79;0,18;0,07;0,67;0,89;0,43;0,26;10,49;6,67
RF_rfe;10,60;6,67;0,44;0,80;239,43;81,05;0,67;0,90;15,44;9,00;41,10;27,30;RF_rfe_log;0,33;0,21;0,46;0,79;0,18;0,07;0,68;0,89;0,43;0,26;10,70;6,66
SVR_linear_sfm;10,00;9,68;0,44;0,47;223,93;220,20;0,67;0,69;14,89;14,83;35,94;34,78;SVR_linear_sfm_log;0,34;0,32;0,42;0,48;0,19;0,17;0,65;0,69;0,44;0,42;11,10;10,22
SVR_linear_skb;10,32;10,00;0,44;0,44;226,85;230,43;0,67;0,67;15,05;15,18;37,65;36,53;SVR_linear_skb_log;0,35;0,33;0,40;0,44;0,20;0,19;0,64;0,66;0,45;0,43;11,50;10,77
