;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
3;18.853384653727215;0.015181700388590494;0.43375453696619515;0.8449427488242952;10;100;{'max_depth': 10, 'n_estimators': 100};1;0.42929985242548474;0.8427813180725647;0.4151592590431926;0.8476397758206744;0.4568259213281085;0.8444071525796465;0.0986458896785345;0.00024147336368528628;0.017298371396308212;0.002019290374612341
7;25.488402366638184;0.022186994552612305;0.4291492711258797;0.9108851681511406;15;100;{'max_depth': 15, 'n_estimators': 100};2;0.4231021091927619;0.9108339867296169;0.40417608359017443;0.9138713116074202;0.4601984499157703;0.9079502061163849;0.11543782310312603;0.00023321342839266357;0.023265763371565076;0.0024175520969807462
10;14.032469511032104;0.01367330551147461;0.4286423363283348;0.9161295900914546;20;50;{'max_depth': 20, 'n_estimators': 50};3;0.42096889236492196;0.9187375728089765;0.41486724878968506;0.9151159331423555;0.45011080140986026;0.9145352643230319;0.16401553232380825;0.000619870913090385;0.015376620399478359;0.0018592963652240815
11;27.922619422276814;0.02568538983662923;0.42720332422485663;0.919442719505219;20;100;{'max_depth': 20, 'n_estimators': 100};4;0.41790581681051453;0.9212522780820158;0.407312728537536;0.921289971470957;0.45641855381639074;0.9157859089626841;0.24151067005395882;0.0006242440505320088;0.021096838864926564;0.0025858013207886187
2;9.529812733332315;0.00866842269897461;0.4258251790756772;0.840622335906286;10;50;{'max_depth': 10, 'n_estimators': 50};5;0.42110813258638125;0.8378420647124822;0.40407907811636323;0.8465754987836998;0.45231292052749195;0.837449444222676;0.07300094552011466;0.00023911469878346253;0.01997050115706086;0.004212572365037538
6;12.623916069666544;0.011670668919881185;0.4206586347071799;0.9041458305732705;15;50;{'max_depth': 15, 'n_estimators': 50};6;0.428062587391006;0.9048677129233764;0.3905005245273475;0.9080957064668446;0.44343393918970647;0.8994740723295904;0.07613564218561525;0.00023888576616672567;0.022233773019200063;0.0035565881960770923
8;7.010860840479533;0.007671833038330078;0.4186128415222853;0.9084046443112467;20;25;{'max_depth': 20, 'n_estimators': 25};7;0.4069030659754933;0.9099112470646686;0.4067573680365585;0.9107381407158318;0.442199991343868;0.9045645451532396;0.08721146588106467;0.00023585426637327283;0.016670994836343257;0.0027362638073449206
5;7.600872119267781;0.0076719919840494795;0.41718702323169765;0.9013900332005682;15;30;{'max_depth': 15, 'n_estimators': 30};8;0.4129297013352575;0.903710770882334;0.3905329924092017;0.9075464386420007;0.4481271039736068;0.89291289007737;0.05013133514602012;0.00023607872804530603;0.023702908104367437;0.00619540439568057
9;8.434402545293173;0.009165128072102865;0.41316915625280015;0.9113710886250606;20;30;{'max_depth': 20, 'n_estimators': 30};9;0.4314263077503968;0.9142337263361352;0.3720843053549593;0.9136652027455222;0.43601807098705936;0.9062143367935243;0.05718900994367493;0.0002326433009265485;0.029118516329025387;0.0036537534908009876
4;6.303067048390706;0.006833871205647786;0.4126951721976768;0.8983406307782958;15;25;{'max_depth': 15, 'n_estimators': 25};10;0.41851140266272124;0.8988115955014201;0.37065441245594244;0.9046310972820373;0.448953367393769;0.8915791995514304;0.02200962199401895;0.0004748835811389893;0.03222656445758563;0.005338811629340739
0;4.765824397404988;0.005003452301025391;0.4067476710867661;0.8325219196355812;10;25;{'max_depth': 10, 'n_estimators': 25};11;0.39821126116807426;0.8331137180657027;0.38792284915716;0.8351548219317962;0.4341343315891981;0.8292972189092446;0.01281152368543927;3.8933590933214475e-07;0.019806911654425545;0.002427694012689454
1;5.743346134821574;0.005670706431070964;0.405932499224729;0.8379699295191566;10;30;{'max_depth': 10, 'n_estimators': 30};12;0.404994477133659;0.8325770516596538;0.3846972902842784;0.8468704278348552;0.4281263373482864;0.8344623090629607;0.02566917642927435;0.00023591004038292195;0.017740869206691202;0.006340489022675183
