;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_gamma;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
11;1.7756438255310059;0.8336101373036703;0.34552470242358413;0.359282836982404;1000;0.0001;rbf;{'C': 1000, 'gamma': 0.0001, 'kernel': 'rbf'};1;0.336196273543207;0.3561821499226485;0.3509706983125715;0.36292725602434717;0.3494107436240737;0.35873910500021644;0.029277372652846637;0.02461365334188596;0.006628387071578486;0.0027803893530862823
7;1.8573447068532307;0.8374427954355875;0.3227490316266299;0.33261984456595023;500;0.0001;rbf;{'C': 500, 'gamma': 0.0001, 'kernel': 'rbf'};2;0.3106986503513804;0.327920823856632;0.3333237309438216;0.3358509438760795;0.32422608503632167;0.3340877659651392;0.09043063735668275;0.018535811420380067;0.009296878833032035;0.0033997838957163283
10;1.765764554341634;0.822254498799642;0.25166839025358123;0.2558125378788826;1000;1e-05;rbf;{'C': 1000, 'gamma': 1e-05, 'kernel': 'rbf'};3;0.24391255522602273;0.25437702687040586;0.25925691312830446;0.2498287774379908;0.2518358579009823;0.2632318093282511;0.03633566378994612;0.004728640135594155;0.006266395456152161;0.005565119636595233
3;1.795634349187215;0.8322718938191732;0.25161532687728116;0.25577586142700665;100;0.0001;rbf;{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'};4;0.24385499216007667;0.25431875097665013;0.2592572247276569;0.24979484011211883;0.25173387381554746;0.2632139931922509;0.014270117595400339;0.0031297588035691473;0.006289466518032082;0.005574393569134265
6;1.8007941246032715;0.8451831340789795;0.21071452744620106;0.2133303731439042;500;1e-05;rbf;{'C': 500, 'gamma': 1e-05, 'kernel': 'rbf'};5;0.20406777523483632;0.21242362637321544;0.21917064328842564;0.20539156381290857;0.2089034822506285;0.2221759292455886;0.023718771345290338;0.012078473401464188;0.006298118231211862;0.0068821204592795825
9;1.7908320426940918;0.8944745063781738;0.21070663834730816;0.2133223891975751;1000;5e-06;rbf;{'C': 1000, 'gamma': 5e-06, 'kernel': 'rbf'};6;0.2040664765215422;0.2124190479412693;0.21914817212264168;0.20537379288979285;0.2089035922602409;0.22217432676166318;0.06918958723750064;0.04946073931322827;0.006288505816580347;0.006888468802473386
5;1.8108028570810955;0.9613467852274576;0.15839737012884214;0.16063122518214598;500;5e-06;rbf;{'C': 500, 'gamma': 5e-06, 'kernel': 'rbf'};7;0.15988288031333342;0.1660309718054197;0.16272546302336666;0.1479061399929422;0.15257836407298708;0.167956563748076;0.05892983073341774;0.08864786163770319;0.004273385712101348;0.009032268850692152
8;1.783627986907959;0.8402754465738932;0.07816522745039198;0.07962898512296575;1000;1e-06;rbf;{'C': 1000, 'gamma': 1e-06, 'kernel': 'rbf'};8;0.08543768262280627;0.0852925788123744;0.07966255435476488;0.06661993774015518;0.06938729501851482;0.08697443881636768;0.046748996481572734;0.008673586718170133;0.006637068828166006;0.009224375267894519
2;1.7978088061014812;0.8477844397226969;0.07813490327055385;0.07959650437904775;100;1e-05;rbf;{'C': 100, 'gamma': 1e-05, 'kernel': 'rbf'};9;0.08538871589757047;0.08523577491346013;0.0796194549940562;0.06657759077556624;0.06938841776357531;0.08697614744811688;0.015708363816646333;0.007369763704211397;0.0066154441469853135;0.009233139866843196
4;1.7702714602152507;0.8783346811930338;0.024571741033987574;0.025873333818418904;500;1e-06;rbf;{'C': 500, 'gamma': 1e-06, 'kernel': 'rbf'};10;0.03543091991472813;0.029500973459214767;0.025582455605269283;0.01645103676469406;0.012690816082474576;0.03166799123134789;0.01739779405143064;0.05570642377033662;0.009310372510204428;0.006721049165750792
1;1.79149063428243;0.877811590830485;0.02455608535332491;0.0258572979100065;100;5e-06;rbf;{'C': 100, 'gamma': 5e-06, 'kernel': 'rbf'};11;0.03541141611646381;0.029477674300774637;0.025579192314644006;0.016448440119266494;0.012666608188602546;0.03164577930997836;0.023280412613012884;0.04838327923598043;0.009312964053107733;0.006711687494091194
0;1.7754608790079753;0.8349732557932535;-0.044932716002294676;-0.043617773130870896;100;1e-06;rbf;{'C': 100, 'gamma': 1e-06, 'kernel': 'rbf'};12;-0.025351750493123104;-0.03897546011019681;-0.049104890570979665;-0.05104401666678737;-0.060355827380458305;-0.04083384261562851;0.010144555572803408;0.0063601666652229475;0.014590755285029941;0.005305670939361616
