;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
6;4.130670150121053;0.0070103804270426435;0.40389725942368215;0.4426320772100816;identity;0.005;(400, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (400, 100)};1;0.42919004237985814;0.46070554565742494;0.36662962505708757;0.394205802455832;0.41588323987816267;0.47298488351698775;1.356172937727541;5.224698357230378e-06;0.026912229329921877;0.034607548304744884
2;4.474413951237996;0.007006247838338216;0.3988380375120618;0.44296655175054384;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};2;0.4303731437524751;0.4619620328983334;0.3967063857532446;0.44319670601396444;0.3694072563999066;0.42374091633933364;0.21473333132108632;8.104673248279548e-07;0.024932914678000167;0.015604554164151116
8;0.9736417134602865;0.003009796142578125;0.3946292353559865;0.43853889611973695;identity;0.01;(50, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (50, 100)};3;0.4116370808213355;0.44367390906361304;0.3779944997522934;0.4300593021128808;0.3942557787379536;0.44188347718271703;0.049414411707802794;0.0008209231433076115;0.013739187819922623;0.006040366847075068
5;1.1735729376475017;0.00366973876953125;0.39405762654596715;0.43774414991720745;identity;0.005;(100, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (100, 100)};4;0.4260321379167296;0.47346543627686166;0.3655443130019874;0.4045603330402592;0.3905932119925798;0.43520668043450156;0.39706355097568363;0.00047137035374583886;0.02481895372348861;0.028187554896247614
10;4.7910754680633545;0.008014043172200521;0.3895242970139049;0.4484311965729086;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};5;0.3864708386450314;0.4423873618072668;0.38983411581941074;0.4555346134239104;0.39227048642816786;0.4473716144875487;0.3423560780227187;5.959934634924785e-06;0.002377631776291634;0.005419384461636837
9;0.90534774462382;0.003331343332926432;0.3870396239562285;0.41674049229048354;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};6;0.3765193585989527;0.3738280202590655;0.40179750298506567;0.45016592193015104;0.38279807198199833;0.42622753468223407;0.2664870548797012;0.00046569483244127347;0.010747903575066338;0.03187864267178718
11;1.2760873635609944;0.005003531773885091;0.3855515497489226;0.41622550222549703;identity;0.01;(200, 100, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (200, 100, 50)};7;0.4001030366247492;0.413652598696463;0.38863760988318097;0.4335104808973923;0.3678976109665233;0.4015134270826359;0.14861226690382504;4.052336624139774e-07;0.013326747755201962;0.013188827029810541
0;0.8814171950022379;0.003002802530924479;0.3829410550894547;0.41657622306606124;identity;0.001;(50, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (50, 100)};8;0.3904637854532922;0.40570043163728975;0.3826468569194157;0.41764678808222055;0.37570580492893335;0.4263814494786734;0.08309277355271347;9.655870691065777e-06;0.006028045642555756;0.008476858963447699
3;1.5176386038462322;0.004927237828572591;0.37737789015189227;0.42403779513030876;identity;0.001;(200, 100, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (200, 100, 50)};9;0.3896276265414754;0.41498951334617007;0.4116947129939954;0.47487053260113354;0.330768053448801;0.3822533394436227;0.21990448796217726;0.0001113552315996775;0.03415280913241242;0.03834831304006127
1;0.8588432470957438;0.0035448074340820312;0.37400771460297844;0.408592172371218;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};10;0.42098721164242875;0.46023694722908076;0.35275679428696693;0.39048125304372316;0.3482552265628823;0.37505831684084984;0.374609497136794;0.0004129433650182049;0.03327801011365117;0.037057197392400314
4;0.7271204789479574;0.003006617228190104;0.369747474679532;0.40076833494621966;identity;0.005;(50, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (50, 100)};11;0.37151683333097296;0.37675176999002186;0.33419860636184406;0.3720884659528242;0.4035583779421231;0.45346476889581294;0.23192534037659926;6.132298063869612e-06;0.02834145499052492;0.03731060809286211
7;1.3076101938883464;0.005671024322509766;0.3612339817570727;0.40327144536905873;identity;0.005;(200, 100, 50);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (200, 100, 50)};12;0.3675244257305903;0.37828250365684624;0.34064672018445674;0.42145489281292625;0.3755440863613748;0.41007693963740377;0.29750190886746536;0.0004712018568280267;0.014924262003827534;0.018270191762145636
