;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
3;0.42496498425801593;0.014010190963745117;0.4538937620355724;0.7606661441365863;10;100;{'max_depth': 10, 'n_estimators': 100};1;0.46459870800941544;0.7517286557660816;0.4126516373755523;0.7741112219266896;0.48443094072174947;0.7561585547169875;0.001243588845379593;1.9466795466607238e-07;0.030265646074314694;0.009677588844516222
2;0.21348945299784342;0.007671038309733073;0.4536166931767146;0.7590735484201502;10;50;{'max_depth': 10, 'n_estimators': 50};2;0.4652081439804017;0.7477560348620413;0.41232934284928346;0.7768636162954294;0.4833125927004586;0.75260099410298;0.0012437167940117819;0.00047114814440009454;0.0301156298142046;0.012734030358763599
0;0.10707203547159831;0.004003286361694336;0.4516057978165905;0.7504917782858987;10;25;{'max_depth': 10, 'n_estimators': 25};3;0.46324713238523535;0.7433375948301191;0.4036139531871954;0.7670627006739552;0.48795630787734084;0.7410750393536223;5.924860261159198e-06;5.840038639982171e-07;0.03540290667514857;0.011753762260493355
1;0.12775723139444986;0.005004088083902995;0.4502000089862378;0.75295873903968;10;30;{'max_depth': 10, 'n_estimators': 30};4;0.46065924870341174;0.7458493409443053;0.4130778992125994;0.7654627022583738;0.4768628790427022;0.7475641739163608;0.0004717663048466381;1.1239159602905075e-07;0.027070004119906555;0.008869309825134756
7;0.5597279071807861;0.01968105634053548;0.437061886091321;0.8793184176815755;15;100;{'max_depth': 15, 'n_estimators': 100};5;0.4464996415367555;0.8787745075624493;0.40187866957369167;0.8826084189247106;0.4628073471635159;0.876572326557566;0.005573705070164368;0.000471763814700398;0.025753696939754215;0.0024940571270443642
6;0.27886541684468585;0.01034092903137207;0.4286216581755007;0.8756444109948874;15;50;{'max_depth': 15, 'n_estimators': 50};6;0.4382730089517415;0.8741850764562493;0.3936733422530633;0.8801412915795828;0.4539186233216972;0.8726068649488302;0.0009526456676207327;0.00047187636689163104;0.02552430086034625;0.003244394050799509
11;0.625450054804484;0.023016611735026043;0.42448408968321666;0.912733696565911;20;100;{'max_depth': 20, 'n_estimators': 100};7;0.43228690402125225;0.9110548795263187;0.3929683788412971;0.9155093771850554;0.4481969861871006;0.9116368329863588;0.002163628882267747;2.9736021254650284e-07;0.023212248218481914;0.0019770296966297343
5;0.1674534479777018;0.007004578908284505;0.42338374478105967;0.8732747450004554;15;30;{'max_depth': 15, 'n_estimators': 30};8;0.4333370059581897;0.874008434113446;0.38811797517641655;0.8795203222466828;0.44869625320857276;0.8662954786412377;0.00047092336243659597;7.370009816086851e-07;0.02571293446731207;0.0054238883274523595
9;0.18779627482096353;0.007672548294067383;0.42044366271869826;0.904909729563419;20;30;{'max_depth': 20, 'n_estimators': 30};9;0.43107681081471716;0.9074684905096512;0.38554900945461706;0.9071271222758539;0.4447051678867605;0.9001335759047517;0.0004689823075686818;0.0004717075687024718;0.02529374954326486;0.0033801248395250658
4;0.13976621627807617;0.005674918492635091;0.41830984230449675;0.8735573576755443;15;25;{'max_depth': 15, 'n_estimators': 25};10;0.4378991643739609;0.868500631870886;0.37922189712498144;0.8793972431397479;0.43780846541454776;0.8727741980159994;0.0009430782037429808;0.0004746632826056627;0.02763937590157567;0.004482859100724737
10;0.31222232182820636;0.012008905410766602;0.417095471676518;0.9088717306291582;20;50;{'max_depth': 20, 'n_estimators': 50};11;0.42242335654331986;0.9084107002975175;0.3845281009482141;0.9101877782058473;0.44433495753802;0.9080167133841102;0.0014151787847470384;0.0008170214057335057;0.024704989936634586;0.0009443842226783744
8;0.15677849451700845;0.00600425402323405;0.40776416980713664;0.9039070292498274;20;25;{'max_depth': 20, 'n_estimators': 25};12;0.4157919850425258;0.9021034024778468;0.3703271100484843;0.9097761627487849;0.4371734143303998;0.8998415225228507;0.0004624067270029108;2.9736021254650284e-07;0.02787401970925338;0.004251593525110463
