;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;4.619273821512858;0.009849230448404947;0.3804885565128318;0.4338289233993365;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};1;0.3384169431083027;0.42781165699685364;0.3644440250119173;0.4472685199704015;0.43865871270536205;0.42640659323075425;0.5615939886728815;0.0015410348878051568;0.042464680217673904;0.009520525827265314
7;1.4068535963694255;0.00502769152323405;0.3769067674472456;0.4349063387385185;identity;0.005;(200, 100, 50);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (200, 100, 50)};2;0.3464248816254477;0.4629980877707981;0.36135991075354623;0.4381397886160087;0.42297828760448575;0.40358113982874866;0.11735180134395813;4.115620034800607e-05;0.033128453450690896;0.024364384174032038
4;1.1165519555409749;0.0028352737426757812;0.3688259037099661;0.4278404837928021;identity;0.005;(50, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (50, 100)};3;0.3302350225444868;0.43109845160791294;0.3639158142318395;0.4588264147170268;0.4123673027649508;0.3935965850534667;0.2793435392407622;0.0002358537843512359;0.03370713648722889;0.02672942741870203
6;4.290766954421997;0.0076762040456136065;0.3634291870323424;0.42931276176692695;identity;0.005;(400, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (400, 100)};4;0.3521688812588051;0.47774483817724567;0.33174122696663244;0.4234771929955019;0.4064173676167936;0.3867162541280333;0.9443396486281512;0.0009401703928631011;0.03150719937463941;0.0373906510210387
10;4.630205949147542;0.007341464360555013;0.36249959774541607;0.42643841928205867;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};5;0.32649901735319387;0.4462722954488757;0.34443810167106637;0.4376059530395502;0.4166119177774773;0.39543700935774995;0.4605617819620454;0.00047873320055356487;0.03894051773334216;0.022204983459577814
8;0.8749580383300781;0.0030069351196289062;0.36153240595729236;0.41398194126304827;identity;0.01;(50, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (50, 100)};6;0.34723895814803857;0.46612784067016744;0.3385827771338529;0.397022707773255;0.3988100951147373;0.3787952753457223;0.17269971699063869;5.6319293074692325e-06;0.026583077855626903;0.03761609533128172
3;1.3588156700134277;0.005504210789998372;0.3571687317022358;0.4194322012960959;identity;0.001;(200, 100, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (200, 100, 50)};7;0.3360505358816258;0.45873740073323277;0.332462084679064;0.415418733712833;0.4030361626899244;0.38414046944222197;0.06415950511685323;0.0004081213708263283;0.032451205469883095;0.030586015116284473
5;0.9882697264353434;0.0036719640096028647;0.3533620180339394;0.3893414553669737;identity;0.005;(100, 100);{'activation': 'identity', 'alpha': 0.005, 'hidden_layer_sizes': (100, 100)};8;0.30429606391818087;0.36279682205954633;0.35474534360321175;0.4174300208982351;0.40108896129097055;0.38779752314313976;0.326666367756677;0.00023446705277428907;0.039524583294408805;0.02233061275276268
1;0.9304147561391195;0.004002968470255534;0.3532550415380281;0.3858047079415141;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};9;0.31656013247592474;0.39019614741200237;0.33973096236709455;0.39056556763991535;0.40352070169321486;0.3766524087726245;0.07819501935403854;0.0004087054674058893;0.03676485043357592;0.006473409863116463
0;0.8561097780863444;0.0033357938130696616;0.35108710827611683;0.3860107602335103;identity;0.001;(50, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (50, 100)};10;0.3357210004807111;0.40352126648140263;0.33632891375678853;0.393975245218083;0.3812394071543404;0.3605357690010452;0.18604205401556467;0.0004718200807658439;0.021312439926175798;0.018430283307834538
11;1.4051947593688965;0.005667289098103841;0.3475491888645483;0.39969778357502844;identity;0.01;(200, 100, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (200, 100, 50)};11;0.31794047318477825;0.435623189864054;0.30259778649437685;0.35985605587750524;0.422178600704499;0.4036141049835261;0.32948851919844435;0.0004769899732709924;0.0531171726529843;0.03105551833050933
9;1.1492865880330403;0.0033322970072428384;0.34504373968472957;0.4017241460912964;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};12;0.26741447807656227;0.3631831116585031;0.37859776632902;0.4756294440405033;0.3891599367628852;0.36635988257488294;0.3849909466505594;0.0004749812859372298;0.055073959365916116;0.05227502760773744
