;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
0;0.10874215761820476;0.004000107447306315;0.4611309713854706;0.7518750232553537;10;25;{'max_depth': 10, 'n_estimators': 25};1;0.46184466874063723;0.7611546410110572;0.4501486104130503;0.7544138819391315;0.4713996350027242;0.7400565468158724;0.0012540077254924612;4.336917765821537e-06;0.008690359964305653;0.008798361484934503
3;0.42496522267659503;0.01434795061747233;0.4599058220253468;0.7584645190354058;10;100;{'max_depth': 10, 'n_estimators': 100};2;0.45932014496835266;0.7620935267857849;0.43498975764961634;0.7663920956295981;0.48540756345807134;0.7469079346908344;0.0009467446638332865;0.0004684203836274301;0.02058714888542667;0.008358046215519712
2;0.21181321144104004;0.007672309875488281;0.4571998976100719;0.7575718543924784;10;50;{'max_depth': 10, 'n_estimators': 50};3;0.45242226479134445;0.7601152632983759;0.4355704734189314;0.7618445810221034;0.4836069546199401;0.7507557188569558;0.0004693725359294854;0.0004717075687024718;0.019899668557652773;0.004871167736546651
1;0.12909634908040366;0.005003054936726888;0.45173873579671964;0.7531222297153217;10;30;{'max_depth': 10, 'n_estimators': 30};4;0.4577812233085463;0.75371519061361;0.4283684254303759;0.756910496716896;0.46906655865123675;0.748741001815459;0.0014123784125870868;1.1239159602905075e-07;0.01715552881558732;0.003361434585245375
7;0.5547247727711996;0.020018657048543293;0.4372945113773972;0.8812894399851644;15;100;{'max_depth': 15, 'n_estimators': 100};5;0.4348449043106666;0.8817699326873769;0.41215489636026903;0.8847643721027267;0.464883733461256;0.8773340151653894;0.0004656986570198455;6.020036336391966e-06;0.021596033533832666;0.0030523986176687052
11;0.6231240431467692;0.023345311482747395;0.4319406875813836;0.9138119505724441;20;100;{'max_depth': 20, 'n_estimators': 100};6;0.43797011157286514;0.9153030564566339;0.41227791725618856;0.9138643869169872;0.44557403391509687;0.9122684083437111;0.0012479359908158401;0.0004748880499065009;0.014246012574113464;0.0012394446256255786
10;0.31255602836608887;0.012342214584350586;0.4270231550475805;0.9104171418467617;20;50;{'max_depth': 20, 'n_estimators': 50};7;0.42987330973841226;0.9133830584575235;0.40475167934150896;0.910563357676292;0.4464444760628201;0.9073050094064693;0.001690762630258186;0.0004717075687024718;0.017139911725412443;0.0024835061731832957
6;0.27886533737182617;0.01034092903137207;0.42661414399032815;0.8782584835340765;15;50;{'max_depth': 15, 'n_estimators': 50};8;0.4299225990929185;0.880252253763061;0.40258777934796897;0.8818348626835176;0.4473320535300971;0.872688334155651;0.00048117504299882447;0.0004717075687024718;0.01841596996080225;0.003991331091441255
5;0.16845782597859701;0.006338040033976237;0.42220087157988534;0.8735183445239937;15;30;{'max_depth': 15, 'n_estimators': 30};9;0.4357666357218999;0.8779394533536226;0.40194643170224686;0.8734154746584244;0.4288895473155092;0.8692001055599342;0.00046914982459528797;0.00047108962613854846;0.01459464142085447;0.0035685652225783057
4;0.13976192474365234;0.005670944849650065;0.4205303035777896;0.8754858083153945;15;25;{'max_depth': 15, 'n_estimators': 25};10;0.4244805952246594;0.8730810477691837;0.3927812235333956;0.8779960494949416;0.4443290919753137;0.875380327682058;0.00046903537927910815;0.00047181992012995503;0.02122889992907185;0.002007926810428692
9;0.18813284238179526;0.007343133290608724;0.4160838327027849;0.9056499771727521;20;30;{'max_depth': 20, 'n_estimators': 30};11;0.42551077151048217;0.9050905637165412;0.39527414361094515;0.9101805785334839;0.4274665829869273;0.9016787892682311;0.0008160481897947427;0.00046898230756868174;0.014736319524836665;0.003493309103503848
8;0.15611513455708823;0.006667693456013997;0.41492521306765884;0.9039700971828344;20;25;{'max_depth': 20, 'n_estimators': 25};12;0.4292380445025499;0.9022148040077327;0.37505170961781487;0.9071268313826832;0.44048588508261177;0.9025686561580871;0.001427148499653575;0.00047783288043091586;0.02856630517996288;0.002236817820394161
