;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
19;4.9337185223897295;0.011678298314412435;0.37301068280037436;0.4003181859250852;identity;0.01;(400, 400);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 400)};1;0.40486650122096585;0.3795908274519817;0.3919132325880862;0.3942373059505375;0.3222161103351464;0.4271264243727364;0.5620313201233949;0.000950102401903128;0.03629181697980091;0.019876972767531066
36;6.220821142196655;0.010340690612792969;0.3702837886910685;0.39839691732189225;logistic;0.01;(400,);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (400,)};2;0.4071360238262609;0.3728931571076737;0.3780343370721636;0.3938084960715354;0.3256491914918165;0.42848909878646785;0.12673150503839634;0.0004717075687024718;0.03371347718155183;0.02292767454360219
10;1.3438773155212402;0.00667111078898112;0.37021805955671544;0.3973293727071365;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};3;0.4100745604642506;0.3783506463144757;0.3901882816211818;0.394866700956278;0.31034866417175255;0.4187707708506555;0.07977751950051806;0.00047173087927160427;0.043090848336053186;0.01659307447891898
29;5.862760782241821;0.010008891423543295;0.3701495726337449;0.39687828412925447;logistic;0.001;(400,);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (400,)};4;0.4137700883869748;0.3725325595360275;0.3753437383174022;0.3888876926568628;0.32130007330710264;0.42921460019487306;0.5120059883400323;1.251539846104274e-06;0.03792680126011055;0.023820167888741528
12;4.184138774871826;0.010267257690429688;0.367683063429976;0.39156779897562527;identity;0.001;(400, 400);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 400)};5;0.40546545255948896;0.3719803191078125;0.38847457560290877;0.39095939602899304;0.3090673833106241;0.4117636817900703;0.951356728890531;0.00036627658985660704;0.04200953401913227;0.016247186467942043
22;5.848910013834636;0.01001119613647461;0.36765687192777374;0.39587476686981243;logistic;0.0001;(400,);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (400,)};6;0.40971384984799125;0.37275331452460103;0.37406354971178213;0.3876706364075637;0.3191586487087803;0.42720034967727266;0.5993959791800582;6.406320973655893e-06;0.03724345469844825;0.022972457809447434
1;1.3697969913482666;0.004336436589558919;0.3674738131436765;0.39507593414507897;identity;0.0001;(400,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400,)};7;0.40675215143598836;0.37424283148765913;0.3835138589112298;0.3915947086045576;0.3121159723191467;0.41939026234302024;0.05787551994134175;0.00046475396761774584;0.04026384952031121;0.01859501414641188
17;1.1403690973917644;0.00567166010538737;0.36630288884843143;0.3930927198185912;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};8;0.4112356318809206;0.37867447662597176;0.37377722802150837;0.384223190735404;0.31385842641304684;0.41638049209439787;0.052482627865567524;0.0004723279388304112;0.04010164008667981;0.01662201973777405
3;1.3378487428029378;0.006001472473144531;0.36624547398709595;0.3941265833869325;identity;0.0001;(400, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100)};9;0.39865621646891586;0.36777835327243613;0.38122093472116636;0.38984086378056526;0.31882547176748544;0.42476053310779627;0.23432710517242125;4.966894783019938e-06;0.03426665744665027;0.02345943661025177
11;0.8343198299407959;0.007339874903361003;0.36604569373124307;0.3886953438958824;identity;0.001;(400, 100, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100, 50)};10;0.3972709711401452;0.37458621129924363;0.38527230039228066;0.3903467227020071;0.3155578240093275;0.40115309768639645;0.17502215933775767;0.00047075390052982136;0.03602227728113079;0.010908563976618244
16;0.7539312044779459;0.002001523971557617;0.3651689682734318;0.3970953897093185;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};11;0.4026712193697947;0.3791337885889853;0.3769620699785383;0.3840199645066189;0.3158384547352996;0.4281324160323514;0.08545676342261722;1.9466795466607238e-07;0.03641522722015036;0.022036960331936174
7;1.1154171625773113;0.0013343493143717449;0.3641264701130968;0.39004199861015154;identity;0.001;(100,);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,)};12;0.4001129283322931;0.37150076145717914;0.3782247150859943;0.3859317319407838;0.3140060431669429;0.41269350243249164;0.056525587128162566;0.000471763814700398;0.036537669727285164;0.01706616919199666
14;1.0823273658752441;0.0016680558522542317;0.3639311783469686;0.390331680842956;identity;0.01;(100,);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100,)};13;0.39979952259079987;0.3695646716871488;0.37778075013425383;0.3888955190667927;0.31417780017888264;0.4125348517749265;0.03571917258743583;0.0004719323518753975;0.03629932136637015;0.01757187174017035
5;4.248715162277222;0.011351426442464193;0.3626342600659417;0.39331022764610707;identity;0.0001;(400, 400);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 400)};14;0.4021135393190321;0.36928642427670666;0.37492938508445306;0.3850517619539585;0.31082292683266266;0.4255924967076559;0.6629239263974697;0.00047303256851680754;0.038268038431047424;0.023717014143734054
15;1.4248369534810383;0.0036732355753580728;0.3616134233424832;0.39085490545606266;identity;0.01;(400,);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400,)};15;0.4125634756278259;0.3792964558612879;0.36290969225190883;0.37691032683196857;0.309329836583382;0.41635793367493157;0.20764016605239421;0.00047403003355045946;0.04215242047617566;0.018059655574151227
8;1.2922439575195312;0.0046698252360026045;0.3607996406714744;0.38952276100368105;identity;0.001;(400,);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400,)};16;0.40221636141257217;0.3711375357501455;0.3669852423494284;0.37839709680322753;0.3131633650980583;0.41903365045767;0.05131501233178765;0.0009438084326729295;0.03661584075694904;0.021076760566162672
0;1.0393948554992676;0.0020012855529785156;0.36035826821970035;0.3877899778039202;identity;0.0001;(100,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)};17;0.3970968950450299;0.36321810058092974;0.3684505285871642;0.3799486415895754;0.3154954046451718;0.4202031912412555;0.062329488387036926;3.371747880871523e-07;0.033799741745342525;0.023915685990735354
2;0.58188263575236;0.0026688575744628906;0.3585391772135609;0.38584617684823924;identity;0.0001;(100, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)};18;0.395037123427204;0.35539304703993657;0.3798922776462742;0.38956477920898896;0.300646867338498;0.41258070429579197;0.0558119435656734;0.0004713705145349331;0.0413860141796804;0.023494368662033718
9;0.6600868701934814;0.0026685396830240884;0.3578728813460799;0.38712378703844713;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};19;0.3961676500675234;0.3632888775055013;0.360508237401722;0.37790405936102267;0.316913562471436;0.4201784242488174;0.07491780185784798;0.00047148274534186793;0.03240706197075508;0.024122709438747912
4;1.0893222490946453;0.007008155186971028;0.3563473316683733;0.3869771273001478;identity;0.0001;(400, 100, 50);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100, 50)};20;0.37039179549197;0.350698717473949;0.3900926540171801;0.3941987544285457;0.3085234586299411;0.4160339099979487;0.32123466599735917;7.030541278392942e-06;0.03474836701368988;0.027157390268865874
35;2.2064499855041504;0.0033399264017740884;0.3520358053017196;0.3648019958154167;logistic;0.01;(100,);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (100,)};21;0.3571527926953302;0.347355161019277;0.3628350459442231;0.36280900224350376;0.33610822474917446;0.3842418241834694;0.006577570094769097;0.00023922706323659668;0.011495047392989764;0.015124714815612499
18;1.081103801727295;0.006946404774983724;0.3514542647380461;0.37295483752299474;identity;0.01;(400, 100, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100, 50)};22;0.35263988435576943;0.32193685795293325;0.38590805472986545;0.3885220804606867;0.3157894347222199;0.40840557415536427;0.27531346418310854;6.883992137894044e-05;0.02863638313045776;0.03697714618459154
21;2.1628013451894126;0.0030020872751871743;0.3499663751846825;0.36492298155697284;logistic;0.0001;(100,);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)};23;0.3534044525919657;0.3450238152608446;0.36060115849362107;0.3636494411956539;0.3358834767646688;0.38609568821442;0.031011868735983574;2.247831920581015e-07;0.01037918500166891;0.01679168674806258
28;2.1182569662729898;0.0030019283294677734;0.34924026752885434;0.36320196903609014;logistic;0.001;(100,);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (100,)};24;0.35236398021889737;0.3432059288106106;0.3610693113346146;0.36278237079003406;0.33427684572884575;0.38361760750762575;0.009684025912083451;1.9466795466607238e-07;0.011158210778099396;0.016500666467222192
6;4.632725477218628;0.018344402313232422;0.3225052628567817;0.3640667374228064;identity;0.0001;(600, 400, 200, 50);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (600, 400, 200, 50)};25;0.3942807595425363;0.3798742878535315;0.26399903848848105;0.2919443819572056;0.3092265260084308;0.42038154245768206;1.2318888758962507;0.0004742986741277198;0.05401536502376006;0.05361240551291106
13;4.67415467898051;0.019013007481892902;0.3206599868676126;0.3682804910613519;identity;0.001;(600, 400, 200, 50);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (600, 400, 200, 50)};26;0.4021302416729192;0.38504366943855173;0.35516607515599563;0.3714782273477286;0.20460092170324262;0.34831957639777533;1.3847575788988216;0.0014150663931512754;0.08424812062280752;0.01516209946840714
20;6.208285649617513;0.018680651982625324;0.3134196274940633;0.35460840977565206;identity;0.01;(600, 400, 200, 50);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (600, 400, 200, 50)};27;0.38879782600122426;0.37799497238452795;0.22922340878817749;0.2559746179463622;0.32224393729350065;0.42985563899606605;1.471224385151234;0.0009433592680005211;0.06545161671616591;0.07288735991613378
