;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
RidgeCV;12.356569160650114;11.71453055010621;0.29829008153821757;0.36837345863203574;331.0198391646769;283.15667855618045;0.5461593920626263;0.6069377716306967;18.193950620046127;16.82725998361529;46.83723262720792;47.117925021276434
DT;13.75110566986098;7.544593367108307;0.07967664942382213;0.7314851037711674;434.1470449142796;120.37459033045944;0.28227052524807145;0.8552690242088552;20.83619554799483;10.971535459107784;49.42006178031034;30.767884260832616
RF;11.85784122253581;7.866391179077877;0.3318311527961806;0.7459769540571852;315.19740353834254;113.87792826139085;0.57604787370164;0.8636995739591314;17.753799692976784;10.671360187969988;43.59811889777575;31.795794999852628
SVR_RBF;11.843688155400335;10.86063011990115;0.28112112289167746;0.39819578999785765;339.1190063280269;269.787398224706;0.5302085654642684;0.6310275667495499;18.415184124195633;16.425206185150493;39.64072642189149;38.60421141218152
MLP;11.998127648016911;11.138223533308405;0.3002039650951309;0.40242455276296374;330.1169968212508;267.8916539192559;0.5479087196743002;0.6343694134831563;18.16912207073448;16.367396064104266;41.798020373818815;41.58346599888465
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;R2_test;RMSE_test;;MEA_test;MAPE_test;;;;;;
;RidgeCV;0.29829008153821757;18.193950620046127;;12.356569160650114;46.83723262720792;;;;;;
;RF;0.3318311527961806;17.753799692976784;;11.85784122253581;43.59811889777575;;;;;;
;SVR_RBF;0.28112112289167746;18.415184124195633;;11.843688155400335;39.64072642189149;;;;;;
;MLP;0.3002039650951309;18.16912207073448;;11.998127648016911;41.798020373818815;;;;;;
;;;;;;;;;;;;
;;R2_test;RMSE_test;;MEA_test;MAPE_test;;;;;;
;RidgeCV;#ARG!;18.193950620046127;;12.356569160650114;46.83723262720792;;;;;;
;RF;0.3318311527961806;17.753799692976784;;11.85784122253581;43.59811889777575;;;;;;
;SVR_RBF;0.28112112289167746;18.415184124195633;;11.843688155400335;39.64072642189149;;;;;;
;MLP;0.3002039650951309;18.16912207073448;;11.998127648016911;41.798020373818815;;;;;;
