;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_gamma;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
2;0.6384545962015787;0.11507805188496907;0.38107856132300527;0.399691449744428;100;;linear;{'C': 100, 'kernel': 'linear'};1;0.40103565669284325;0.3859143882024241;0.4047480320109851;0.3874148008127325;0.3374208778856884;0.4257451602181276;0.0014069788039835012;6.126115271441703e-06;0.030896842980195183;0.018432935768813632
1;0.4009515444437663;0.11542415618896484;0.37833559608386896;0.3937491327055982;10;;linear;{'C': 10, 'kernel': 'linear'};2;0.39867253959232085;0.3808526447721968;0.39541462033020536;0.38070881397560097;0.34089294076292187;0.4196859393689968;0.005911517076575265;0.0004737499354194139;0.026499924882574348;0.01834018587229331
0;0.3625905513763428;0.11574570337931316;0.3435595329494502;0.351613051902107;1;;linear;{'C': 1, 'kernel': 'linear'};3;0.3671832867092423;0.3395379748116133;0.3471353274440492;0.3411181895911223;0.31634058416135413;0.37418299130358534;0.004504635445590331;0.0009461779080621341;0.020908712367308624;0.0159723906189639
18;0.5367026329040527;0.1911443074544271;0.08343021419427456;0.08465781136482764;1000;1e-05;rbf;{'C': 1000, 'gamma': 1e-05, 'kernel': 'rbf'};4;0.08068363414818802;0.08230347359588741;0.08856491731653915;0.07485379997748298;0.08104038774928324;0.09681616052111253;0.003301952705475846;0.0008119649005403916;0.003634349655341975;0.009119338422999328
17;0.5380568504333496;0.19013635317484537;-0.04388748060268113;-0.04371364179092777;1000;1e-06;rbf;{'C': 1000, 'gamma': 1e-06, 'kernel': 'rbf'};5;-0.05152011485422103;-0.042624460746605086;-0.03638624389987677;-0.048353101866420944;-0.043755989332441514;-0.04016336275975729;0.0012481582800674556;0.000818287305099314;0.006179810018632585;0.003431005019843591
14;0.5393869082132975;0.19013142585754395;-0.04389795146210379;-0.0437236414260033;100;1e-05;rbf;{'C': 100, 'gamma': 1e-05, 'kernel': 'rbf'};6;-0.05153875323987678;-0.042642163997472116;-0.036395326875329426;-0.04836184464534865;-0.0437596757139076;-0.04016691563518915;0.002157522508974227;0.0008117723733717323;0.0061837849617441916;0.0034318518268038395
13;0.5433901151021322;0.18947331110636392;-0.06368026876359997;-0.06358820925256363;100;1e-06;rbf;{'C': 100, 'gamma': 1e-06, 'kernel': 'rbf'};7;-0.07169627524485067;-0.06180261319866864;-0.05483203694221861;-0.06628338679272794;-0.06451308770240405;-0.06267862776629429;0.005101379235385929;0.0004682395757569795;0.006910733182945782;0.0019390438984935691
10;0.5373790264129639;0.189467191696167;-0.06368131561696515;-0.06358930336123891;10;1e-05;rbf;{'C': 10, 'gamma': 1e-05, 'kernel': 'rbf'};8;-0.07169851327442656;-0.061805046336897984;-0.054831980774802336;-0.0662833317246545;-0.0645140463374616;-0.06267953202216425;0.0008218964731586357;0.0004728878907190721;0.006911661181129193;0.0019381301849290494
16;0.5547271569569906;0.19047911961873373;-0.06368221689145108;-0.06358979589460471;1000;1e-07;rbf;{'C': 1000, 'gamma': 1e-07, 'kernel': 'rbf'};9;-0.07169316273441861;-0.06179859597764482;-0.05484190545175105;-0.06629301449632785;-0.06451217404709708;-0.06267777720984147;0.004924749655212765;0.00047673479941904033;0.006905280200542315;0.0019448706925805647
15;0.518702507019043;0.19213716189066568;-0.06600143267177928;-0.06591088592215917;1000;1e-08;rbf;{'C': 1000, 'gamma': 1e-08, 'kernel': 'rbf'};10;-0.07391624311846456;-0.06393413568605899;-0.057165668686606;-0.06854112489445585;-0.06692304309581543;-0.06525739718596268;0.00047187620627490306;0.0008063147935563033;0.006870161365301145;0.0019367280032437956
