;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_activation;param_alpha;param_hidden_layer_sizes;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
26;23.77117355664571;0.010510921478271484;0.403037500322893;0.450446545808371;logistic;0.01;(400,);{'activation': 'logistic', 'alpha': 0.01, 'hidden_layer_sizes': (400,)};1;0.40844432640231454;0.44899971796039173;0.40707036587652246;0.44822417877894666;0.3935890357422276;0.45411574068577465;0.08987760876458716;7.599533772711386e-06;0.006701493964239664;0.0026137595581541082
21;23.09195590019226;0.010678688685099283;0.4005628285120624;0.44608083603548687;logistic;0.001;(400,);{'activation': 'logistic', 'alpha': 0.001, 'hidden_layer_sizes': (400,)};2;0.4082921085005322;0.45190922820533175;0.40418411192431536;0.44353936974762376;0.3892017162605953;0.4427939101535052;0.8563411083124621;0.0006293870371762336;0.008203108509017544;0.004132516905853487
16;23.034913619359333;0.011182228724161783;0.3944200327681987;0.43941589229480943;logistic;0.0001;(400,);{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (400,)};3;0.4034922742462829;0.4436123070126663;0.3903561830190837;0.4226283044534714;0.3894069864000761;0.4520070654182906;1.2271715029653119;0.0002305191911055787;0.00642822183574169;0.01235543932363882
10;1.6492186387379963;0.0028405984242757163;0.37342564163596864;0.4074190203634022;identity;0.01;(100,);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100,)};4;0.37055429265241224;0.40118560816747684;0.3649950436028913;0.41032808206375515;0.38473809232083356;0.4107433708589745;0.014054946761306525;0.00022882937231837107;0.008311367446549025;0.004410947509631887
12;1.090863545735677;0.0041735172271728516;0.37241417948359445;0.41174207018760667;identity;0.01;(100, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (100, 100)};5;0.3791495906691702;0.4089040771226393;0.3745096396041321;0.41997040129902347;0.3635751010480145;0.40635173214115716;0.06943768505285003;0.00023270565286077888;0.006528222111774089;0.00591087646549177
5;1.5584218502044678;0.0028390884399414062;0.37130311899687857;0.4030396543780507;identity;0.001;(100,);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100,)};6;0.36846891249012464;0.3996214217733349;0.3656011970159162;0.41011203539985996;0.37984718068950907;0.39938550596095723;0.06824618646302344;0.00023909528382890663;0.0061512324422626575;0.005001855925945119
8;4.343993504842122;0.008030891418457031;0.36996520234646746;0.4167642440686963;identity;0.001;(400, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (400, 100)};7;0.40848654594589817;0.4456086441899672;0.35144907443914447;0.4016123947555587;0.34994139444646744;0.4030716932605629;0.6625768852548012;0.0010598031862505627;0.027251978977821206;0.020404769896581496
2;1.103902816772461;0.003506739934285482;0.3689552407069801;0.41336965410925597;identity;0.0001;(100, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100, 100)};8;0.3609399512053503;0.38932829285986476;0.3524692542668906;0.39270759317248183;0.3934792873512474;0.45807307629542116;0.30218009187397593;6.013738127515352e-06;0.017674775921256863;0.03164018419685755
3;4.355400005976359;0.008510589599609375;0.36688651341564776;0.41613772912488284;identity;0.0001;(400, 100);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100)};9;0.3604327780314179;0.39110127040351605;0.38859954130857866;0.44258378084071787;0.3516130394083328;0.4147281361304145;0.7158375428994296;0.0021199927565895386;0.01577339215438755;0.02104126793607725
4;2.8674026330312095;0.008678436279296875;0.36315085156376753;0.38788152108644697;identity;0.0001;(400, 100, 50);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400, 100, 50)};10;0.37047682593723363;0.4054439078780905;0.3616619899294775;0.4047878292600442;0.3573083139986255;0.35341282612120617;0.6812864921143518;0.00024176263080219964;0.005477773899069459;0.024374519608850766
1;4.3323289553324384;0.006677071253458659;0.36063237804552944;0.3844662585783862;identity;0.0001;(400,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (400,)};11;0.3669015400231603;0.395633433137236;0.3398489997541249;0.3811928534987742;0.37516008340792195;0.3765724890991483;0.4152874614720834;0.00023345179253420864;0.015081121119668445;0.008118550055980832
7;0.9605517387390137;0.0036803881327311196;0.3600000554828841;0.39047807678166224;identity;0.001;(100, 100);{'activation': 'identity', 'alpha': 0.001, 'hidden_layer_sizes': (100, 100)};12;0.3600208205100932;0.3930526324394876;0.34202412643141167;0.39006704357207855;0.37797190646256035;0.38831455433342055;0.16930168835602608;0.00023524076551746867;0.014674489582239254;0.001956026117639801
0;1.4357194900512695;0.002664963404337565;0.35951211050171444;0.39548380615627493;identity;0.0001;(100,);{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,)};13;0.34472736416968114;0.37175998834998014;0.34475672636578136;0.38732236658303176;0.38907969462253206;0.427369063535813;0.3535091996187436;0.00023152668781984453;0.020897734087934213;0.023424333966862724
13;3.2248857816060386;0.007839123407999674;0.3518140444757622;0.38965549159718377;identity;0.01;(400, 100);{'activation': 'identity', 'alpha': 0.01, 'hidden_layer_sizes': (400, 100)};14;0.3456463005680307;0.37182331922491674;0.356483540807118;0.39913382820410276;0.3533136844755359;0.3980093273625318;1.048148378695731;0.00023613474325703563;0.004550139794672001;0.012617604214518595
