;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_max_depth;param_n_estimators;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
6;9.626445293426514;0.008680264155069986;0.4411536740899672;0.8438961112338691;10;50;{'max_depth': 10, 'n_estimators': 50};1;0.45392959281663686;0.8473268541789147;0.41616353356326086;0.8495412726533358;0.4533792473972529;0.8348202068693568;0.056940759036789614;0.00023102832761707142;0.017676228834379065;0.006480994898948505
13;12.79931894938151;0.012174367904663086;0.4388467141076517;0.9056886432540282;15;50;{'max_depth': 15, 'n_estimators': 50};2;0.44253758458112713;0.9057346062534886;0.4208120688042864;0.906570072856162;0.45320381958329437;0.9047612506524341;0.057450178831143506;0.0006243939065426794;0.013478065079029877;0.0007391634411794272
12;7.697031180063884;0.007997433344523111;0.4332609546804811;0.9030079322850626;15;30;{'max_depth': 15, 'n_estimators': 30};3;0.43396595332929855;0.9054061979919044;0.4243501599827785;0.9035156227606493;0.4414743769338725;0.900101976102634;0.036560343457283276;6.278858888976949e-06;0.007008151346491803;0.002194995015469648
19;8.463590780893961;0.008501927057902018;0.430657162861031;0.9094359806641159;20;30;{'max_depth': 20, 'n_estimators': 30};4;0.4372766059448523;0.9093118572995146;0.42203539063897866;0.9138112444947102;0.4326613528999482;0.905184840198123;0.02264137702715855;6.020036336391966e-06;0.006382341605122498;0.0035228083237926933
3;3.8267877101898193;0.0041726430257161455;0.42887663157727296;0.8313071566243226;10;20;{'max_depth': 10, 'n_estimators': 20};5;0.4240634907917712;0.8322137422656496;0.41900892103181564;0.8322445159418305;0.44357112682210853;0.829463211665488;0.006199472656087106;0.00023397082542302814;0.010588828118065845;0.001303926509482124
20;14.119837045669556;0.01367330551147461;0.42874168273472874;0.9153377057392736;20;50;{'max_depth': 20, 'n_estimators': 50};6;0.4425952317759723;0.9165240501972264;0.4159020965291943;0.9195250021383908;0.4277267775543768;0.9099640648822035;0.11017813582320252;0.0006176400679356068;0.010922692687001466;0.0039923627243253915
18;7.0522697766621905;0.008006016413370768;0.4280154646536154;0.9104996082024718;20;25;{'max_depth': 20, 'n_estimators': 25};7;0.44227194392466956;0.9113177752630979;0.4034339968345829;0.9098622399343138;0.4383500489158578;0.9103188094100039;0.08383751547358101;0.0004089002279915014;0.017459317088834834;0.0006078168177189807
5;5.76331623395284;0.006004174550374349;0.42693611218984534;0.8418994426253534;10;30;{'max_depth': 10, 'n_estimators': 30};8;0.44468422939896046;0.8472479187150465;0.41154223827364145;0.8366553452619077;0.4245796809384832;0.8417950638991064;0.016745315889302607;1.0512670361819054e-05;0.013634359002585344;0.004325029809446784
2;3.2555087407430015;0.004341602325439453;0.4231505619529136;0.8309375791896197;10;17;{'max_depth': 10, 'n_estimators': 17};9;0.4362388764438059;0.8387278779428615;0.39252278739559765;0.8308700176124906;0.4407063226327819;0.8232148420135073;0.008665485330344933;0.0002396027245793001;0.02173876645740113;0.006333350580400406
10;5.17422612508138;0.00600425402323405;0.4214682415059548;0.8942834897956443;15;20;{'max_depth': 15, 'n_estimators': 20};10;0.440037400038493;0.8943601145334058;0.39917905417219923;0.8992977828614626;0.4251917275830096;0.889192571992065;0.036470564169310805;4.899036091938795e-07;0.016889225839512016;0.004125790848760614
