;mean_fit_time;mean_score_time;mean_test_score;mean_train_score;param_C;param_gamma;param_kernel;params;rank_test_score;split0_test_score;split0_train_score;split1_test_score;split1_train_score;split2_test_score;split2_train_score;std_fit_time;std_score_time;std_test_score;std_train_score
1;2.201777458190918;0.7582131226857504;0.4064152782031061;0.46531644371804787;10;;linear;{'C': 10, 'kernel': 'linear'};1;0.40685338784562786;0.45783129485019974;0.4074601862690414;0.46490843165573625;0.4049308822254032;0.4732096046482074;0.041064106669898105;0.0020978297666572453;0.001077997749355442;0.0062847942656923
2;12.939768552780151;0.7615616321563721;0.39820151824931843;0.47843098408998475;100;;linear;{'C': 100, 'kernel': 'linear'};2;0.40772984586178473;0.47201806048651224;0.3931794119888595;0.47897275337719314;0.3936911089592515;0.48430213840624897;0.798755937252736;0.00495168622514427;0.006742346034783323;0.005029564464574283
0;1.7027499675750732;0.7740548451741537;0.3788683155769808;0.4127611645622838;1;;linear;{'C': 1, 'kernel': 'linear'};3;0.3760435783334033;0.4104835380432016;0.3826357716531726;0.4082667269996272;0.3779247206116226;0.41953322864402254;0.024323650316513765;0.011334918752205096;0.0027730579144492886;0.004873342572684626
18;1.7599622408548992;0.8240984280904134;0.24350393000792586;0.24933292896298018;1000;1e-05;rbf;{'C': 1000, 'gamma': 1e-05, 'kernel': 'rbf'};4;0.23761060325209704;0.2535050917556596;0.2433099701454985;0.24957414486486773;0.24959687395575292;0.24491955026841317;0.005887129097336147;0.005342891297515154;0.004894917909644284;0.0035091802927749403
17;1.7727550665537517;0.8296492099761963;0.07390878203989935;0.0753487807184889;1000;1e-06;rbf;{'C': 1000, 'gamma': 1e-06, 'kernel': 'rbf'};5;0.06456945517830903;0.07437406198939123;0.0845131079241761;0.07508888950885761;0.07264260736756357;0.07658339065721786;0.002482715558095617;0.0018187695739061006;0.008192247923192873;0.0009204856947115353
14;1.783950646718343;0.8332653840382894;0.07389106837648077;0.07532894913372912;100;1e-05;rbf;{'C': 100, 'gamma': 1e-05, 'kernel': 'rbf'};6;0.06457326619788228;0.07437590618325762;0.08445483211913918;0.07502670974620418;0.0726439488555769;0.07658423147172555;0.022583203627955732;0.0036979983444405404;0.008165584579234454;0.0009265299529068396
13;1.7702843348185222;0.8302777608235677;-0.04747699280096904;-0.04725550052547023;100;1e-06;rbf;{'C': 100, 'gamma': 1e-06, 'kernel': 'rbf'};7;-0.05232865718394719;-0.04722875885247624;-0.03829392400888576;-0.05354877687282955;-0.051812422678855885;-0.0409889658511049;0.014388349495616348;0.0010363670389299893;0.006498335917000756;0.0051275562446559215
10;1.77394700050354;0.8252540429433187;-0.04748342841771282;-0.047261843164697837;10;1e-05;rbf;{'C': 10, 'gamma': 1e-05, 'kernel': 'rbf'};8;-0.05233809663609623;-0.047238586082791745;-0.038298368769743574;-0.053553048756647355;-0.051817844374649535;-0.04099389465465442;0.004930445884033263;0.003576754058044013;0.0064997966338845095;0.005127279565116743
16;1.7636210123697917;0.8289348284403483;-0.04748425929175262;-0.04726323841632274;1000;1e-07;rbf;{'C': 1000, 'gamma': 1e-07, 'kernel': 'rbf'};9;-0.05234761142871314;-0.04724657239535346;-0.038312719491959024;-0.05356950500791369;-0.051796450846465676;-0.04097363784570107;0.00856466399653329;0.0023935220256778504;0.006490664668121445;0.005142254739522844
9;1.8207995096842449;0.8409608205159506;-0.06929567740108337;-0.06923390029078995;10;1e-06;rbf;{'C': 10, 'gamma': 1e-06, 'kernel': 'rbf'};10;-0.07492608488595298;-0.0706272745759946;-0.06090481673581327;-0.0768384915173408;-0.0720586960584173;-0.060235934779034446;0.052976439683952846;0.016914536167546325;0.00604894449581922;0.006849201485631866
6;1.7602729002634685;0.8214289347330729;-0.06929655293856413;-0.06923477814205999;1;1e-05;rbf;{'C': 1, 'gamma': 1e-05, 'kernel': 'rbf'};11;-0.07492709009209486;-0.07062832263162333;-0.06090571738305184;-0.07683941130698124;-0.07205941667363303;-0.060236600487575405;0.009960560566636358;0.0072651962768892405;0.006048949553910687;0.006849321448607842
12;1.7695014476776123;0.8212646643320719;-0.06929668456613393;-0.06923490034967483;100;1e-07;rbf;{'C': 100, 'gamma': 1e-07, 'kernel': 'rbf'};12;-0.07492742886890902;-0.07062853532389068;-0.06090569021328229;-0.07683945592509445;-0.0720594999043611;-0.06023670980003937;0.008555433296818786;0.0017198797052335082;0.006049079932259475;0.006849304517213217
