;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train
Ridge;10.76649993920445;9.85635376080039;0.43697721341741236;0.5153897778749927;262.8312141734546;193.41760796854751;0.6610425201281778;0.7179065244688843;16.21207001506762;13.907465907509804
RidgeCV;10.427680131265198;9.986391136700309;0.45075074225952916;0.49303525919889346;256.40143300775816;202.3397423607189;0.6713797303013617;0.7021646952096734;16.012539867483802;14.224617476780137
Lasso;10.457849014146506;10.489279591318633;0.4450331921836681;0.43545150564125834;259.07050904579455;225.32256724239275;0.6671080813359017;0.6598874946847063;16.095667399825164;15.010748390483158
LassoCV;10.265770443633926;10.204693037870237;0.45954524820057163;0.4669171040817277;252.29596742159615;212.76401914374262;0.6778976679415349;0.68331332789704;15.883827228397951;14.58643270795648
Ridge_pca;10.676320702512813;10.000421917772853;0.4361026896617235;0.4954634636897963;263.23946077733785;201.37059750399368;0.6603807156949115;0.7038916562154977;16.224655952510606;14.190510826041242
RidgeCV_pca;10.424685642946796;10.011711463921035;0.4504449437789412;0.4908180090631661;256.5441863524907;203.2246911256042;0.671151952823607;0.7005840485360526;16.016996795669616;14.255689780771894
Lasso_pca;10.841608531826676;11.08009847933428;0.40561678342254026;0.3934583205186163;277.47094117737186;242.08288521873678;0.6368805095326283;0.627262561068821;16.657459025234665;15.55901298986336
LassoCV_pca;10.34557839956914;10.291124878083583;0.4512878102516067;0.4665188070049656;256.1507180530256;212.92298745338817;0.6717795845748862;0.6830218202992974;16.00470924612583;14.591880874424248
Ridge_rfe;10.639151882107308;10.265663676749917;0.4547168822392059;0.45810006216303467;254.54995308317532;216.28307647974762;0.6743269846589308;0.6768308962828415;15.954621684113206;14.706565760902429
RidgeCV_rfe;10.48574465493302;10.426805204415958;0.4538708253461181;0.4399883286631584;254.94491073989792;223.51183066150782;0.6736993582794317;0.6633161604115781;15.966994417857668;14.950312059000902
Lasso_rfe;10.659374169607993;10.690668194471966;0.4253865285833899;0.4144533296416707;268.2419965443047;233.7033582123677;0.6522166270368993;0.6437804980283813;16.378095021836476;15.287359425759822
LassoCV_rfe;10.5195783793387;10.369573822339822;0.45622849991666525;0.44609844252129294;253.84429725715768;221.07316231961093;0.6754468890421106;0.6679060132393576;15.932491872182382;14.868529258793922
Ridge_skb_log;10.45973460286227;10.030565549845402;0.4706566805006277;0.48856120194450814;247.1089104991646;204.12542787156704;0.686044226344503;0.6989715315694254;15.719698168195361;14.287247036135655
RidgeCV_skb_log;10.275644434904875;10.164425953814243;0.4712133737071704;0.4712926887012464;246.8490340698538;211.01763602606877;0.6864498333506757;0.6865076027993036;15.71143004534768;14.526446090701908
Lasso_skb_log;10.455835026606506;10.493091201629852;0.4451423204590502;0.43520432417022437;259.01956560655395;225.42122229892854;0.6671898683726022;0.659700177482335;16.094084801769686;15.014034178025856
LassoCV_skb_log;10.257953861338997;10.220244679518178;0.46720293217351083;0.46322949943088054;248.72119491801652;214.23581573023012;0.6835224445279839;0.6806096527605824;15.770897086659861;14.636796634859355
Ridge_sfm;10.760103114928851;9.942950330890858;0.4438105704288502;0.5026650866545389;259.64125532454494;198.4962861012669;0.6661910915261853;0.7089887775236918;16.11338745653889;14.088871001654706
RidgeCV_sfm;10.457045569830983;10.03445732380195;0.45502061235454705;0.488872387506056;254.40816529607585;204.00122750558012;0.6745521568822881;0.6991940985921262;15.950177594499563;14.28289982831148
Lasso_sfm;10.487662975480758;10.542486923666704;0.442147950783525;0.4317962018528727;260.41740213512406;226.78147191024672;0.6649420657346962;0.6571120162140338;16.13745339683818;15.059265317745309
LassoCV_sfm;10.321795395307785;10.140882408505197;0.45955248357591116;0.47624731890416894;252.29258979189657;209.04014426368744;0.6779030045485204;0.6901067445722936;15.883720905124736;14.458220646527963
Ridge_log;0.3326144190014241;0.31571778876183804;0.42224118472351846;0.5022405631986611;0.18724618894370626;0.16712817300037872;0.6498008808269795;0.7086893277019636;0.432719526880526;0.40881312723587865
RidgeCV_log;0.3251540759088185;0.3229412439285212;0.4482367351661508;0.48024968211658725;0.1788212759503018;0.17451185175398198;0.6695048432731094;0.6930004921474351;0.4228726474369107;0.41774615707865226
Lasso_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703
LassoCV_log;0.3254652599113648;0.3311858631299409;0.45718480613613777;0.456551335320044;0.17592129044904023;0.18246883078925116;0.6761544247700652;0.6756858258984304;0.41942972051231686;0.4271637049062703
Ridge_pca_log;0.329408418219985;0.3219675510220039;0.43044194534744107;0.48162108546183013;0.18458839968516538;0.17405138808701484;0.6560807460575574;0.6939892545723098;0.42963752127248545;0.4171946644996971
