;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;17.929047074604306;7.377801417163062;-1.6185900708387084;0.7425477919368462;1222.4144815142997;102.754312592587;;0.8617121282289383;34.96304451151672;10.136780188629277;64.48204176644903;30.767609096242854
RidgeCV_pca;12.744378813545254;8.02610752904521;0.21705394486005525;0.6894713593180799;365.49615256924017;123.93817576330115;0.4658904859084968;0.8303441210233742;19.117953671071604;11.132752389382473;48.68814532100173;32.96799927410276
Lasso_pca;11.1198552941679;9.980502768842916;0.42129169618392504;0.5126479990561528;270.15355287388195;194.51190659558318;0.6490698700324373;0.71599441272691;16.4363485261746;13.946752546581703;43.451380619838304;40.94841606138012
LassoCV_pca;11.13927404399205;10.238803042038713;0.42084042129777866;0.48836781343540314;270.36421775118066;204.20261308378912;0.6487221449108845;0.6988331799760249;16.44275578335884;14.289947973445848;43.66396096570911;42.11823513043643
Ridge_skb;10.592130262521295;10.532232390632027;0.4490734195613415;0.431079129327099;257.18444352142;227.0676698613897;0.6701294050863172;0.6565661652317297;16.0369711454944;15.068764709205254;41.06519745066264;42.31188929464883
RidgeCV_skb;11.066738783910841;11.246197233426404;0.3777469319783828;0.36109816312894916;290.48119061747553;254.99846964109878;0.614611203915437;0.6009144391083885;17.043508753114057;15.968671505203517;42.91044816002712;45.67754793287314
Lasso_skb;13.484726984468855;13.344433763204194;0.12079936025868754;0.13310813644732755;410.42987451341946;345.99383785285204;0.3475620236140415;0.3648398778194724;20.25906894488045;18.60090959745926;55.45470603903983;57.65237192052696
LassoCV_skb;10.554416303991555;10.508665142493019;0.45512945263308535;0.43092233266892277;254.3573562999909;227.13025053587265;0.6746328280131981;0.6564467477784643;15.948584774204603;15.070841069292472;40.63550306502739;42.087042562805834
Ridge_pca_log;0.5399555308170316;0.23882012047926834;-3.1953175575061454;0.7051164929417267;1.3596628961441675;0.09901036150975674;;0.8397121488591949;1.1660458379258372;0.3146591195401092;16.483801247884944;7.7241089963124
RidgeCV_pca_log;0.38865822031178987;0.259793178438275;0.22651064423107747;0.6517043373430036;0.2506806131325659;0.11694407671682627;0.4759313440309195;0.8072820680177428;0.5006801505278254;0.34197087115253877;12.30876957538156;8.43719012804118
Lasso_pca_log;0.3969466982558927;0.40780486990791137;0.23522056859389884;0.2122033153740428;0.24785780870309862;0.2645113499874034;0.4849954315185854;0.4606553108062934;0.49785319995265537;0.5143066692036993;12.755600604069036;13.32817322290614
LassoCV_pca_log;0.3423064218149357;0.32478507496434983;0.4190142237083576;0.47524743244518763;0.1882920166073995;0.17619141177165862;0.6473130801307491;0.6893819205964047;0.4339262801529766;0.41975160722939303;10.96376498501335;10.572174908027883
Ridge_skb_log;0.3383212057239102;0.34478213879772035;0.42279518232308655;0.41164103174852895;0.18706664354091834;0.19754795622589325;0.6502270236794888;0.6415925745740274;0.43251201548733686;0.44446367256041663;10.871854969473823;11.245544992200976
RidgeCV_skb_log;0.3492193808034753;0.36621234736506536;0.3917374893326515;0.3577455615737435;0.1971321492434314;0.21564394958604174;0.6258893586990049;0.5981183508083859;0.4439956635412461;0.46437479430524836;11.207126745545956;11.94662567384606
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.33480593333986775;0.3478460002761717;0.4331683392820318;0.40165500233407625;0.18370480109642373;0.20090087478086904;0.6581552546945377;0.6337625756812059;0.42860798067280986;0.44821967246080247;10.741733639437227;11.347410379696251
