;MEA_test;MEA_train;R2_test;R2_train;MSE_test;MSE_train;R_test;R_train;RMSE_test;RMSE_train;MAPE_test;MAPE_train
Ridge_pca;11.165249829088184;10.245887604491298;0.3941410465548518;0.48507902331304087;282.82806335137326;205.51523483532492;0.627806535928746;0.6964761469806707;16.817492778395156;14.335802552885726;42.39467997465168;41.399723099287975
RidgeCV_pca;11.120801416354205;10.254000913032844;0.39946420586907894;0.48424903199100033;280.343097450989;205.84650093086825;0.6320318076403109;0.6958800413799783;16.7434493892683;14.347351704438985;42.363675704834506;41.49585895884838
Lasso_pca;10.894676823290613;10.453056987433836;0.4255889104171049;0.4578961038607364;268.1475203270901;216.36448030730796;0.6523717578322232;0.6766802079717837;16.37521054298509;14.709333102058297;42.083060292355675;42.62046153158491
LassoCV_pca;10.905219111287234;10.54886327278517;0.4242661383742765;0.44863364052957466;268.7650189263946;220.06131421550307;0.6513571511653775;0.6698011947806414;16.39405437731602;14.834463731982463;42.298287078957195;43.11421504357892
Ridge_skb;10.669983536475454;10.376813859123487;0.448682632569278;0.45365240651449334;257.36687134149224;218.05822458297263;0.6698377658577321;0.673537234690476;16.042657864004088;14.76679466177317;41.14895576009882;42.03276623303756
RidgeCV_skb;10.634745801798521;10.591335570839174;0.46146521524535733;0.43002752949724643;251.39968527888388;227.48738433364807;0.6793123105357044;0.6557648431390984;15.85558845577432;15.082684917933149;41.28581668532449;42.957350163522996
Lasso_skb;10.806060668174696;11.008464186716564;0.4293139143840021;0.387453802260319;266.408607908708;244.4794082500313;0.6552205082138395;0.6224578718759359;16.322028302533603;15.635837305690773;42.50378638612023;45.06616814080539
LassoCV_skb;10.578095644112906;10.573754302814883;0.4641896554677535;0.4274332712816057;250.12785765723163;228.52280454480606;0.6813146523213437;0.6537838108133343;15.815430998149612;15.116970746310455;40.913784170775735;42.696959661447025
Ridge_pca_log;0.33812387373533953;0.32600370395327216;0.40032926625989773;0.464100393713754;0.1943476352847626;0.1799341518983365;0.6327157863210762;0.6812491421746922;0.44084876690852;0.42418645888139395;10.778135084738572;10.587301994983477
RidgeCV_pca_log;0.3376415203555601;0.3271368290808508;0.40604383757925877;0.4617365134824999;0.19249559655734774;0.180727850530712;0.6372156915670382;0.679511967137077;0.4387432011522774;0.4251209834043857;10.7770501355494;10.629972344099075
Lasso_pca_log;0.39694669352451273;0.4078048727201884;0.2352205862624286;0.21220331234108036;0.24785780297689458;0.2645113510057536;0.48499544973373576;0.46065530751428485;0.4978531942017592;0.5143066701937217;12.755600454797221;13.328173289194961
LassoCV_pca_log;0.33778267537993023;0.3379683443432834;0.42073639709176014;0.43407740862432864;0.18773387643849856;0.19001469738886004;0.6486419637147754;0.6588455119558216;0.43328267498077805;0.4359067530893047;10.821638180696997;10.999038162002444
Ridge_skb_log;0.3447483545744145;0.3408913922046661;0.4113032878723596;0.42011116488115585;0.19079105826683163;0.1947040164211098;0.6413293131242012;0.6481598297342684;0.4367963578909875;0.44125278063838846;11.056774499469253;11.117887983728002
RidgeCV_skb_log;0.339091831821367;0.34923023303179995;0.42484114967379705;0.39754831830893134;0.18640356479768797;0.20227973884143377;0.6517983964952637;0.630514328393044;0.431744791280321;0.4497551987931143;10.888623680214808;11.397143762655462
Lasso_skb_log;0.45382142193597175;0.4642192821419712;-0.00022969111246329277;0.0;0.32416501968823025;0.3357609331816271;;0.0;0.5693549153983218;0.5794488184314703;14.47068981959658;15.081709979984884
LassoCV_skb_log;0.3396949370230154;0.35396324965402937;0.42300589058183846;0.38433682258051705;0.18699835497934722;0.20671564297593126;0.6503890301825812;0.6199490483745556;0.432433064160625;0.4546599201336437;10.90996108644652;11.546110954007503
